id,"name","path","url","type","thumbnail","extension","permissions",is_public,user_id,group_id,fileable_id,"fileable_type","created_at","updated_at"
11,"Ollerías, 23.jpg","facades/Andujar (Ollerias, 23)","facades/Andujar (Ollerias, 23)/Ollerías, 23.jpg","image/jpeg","facades/Andujar (Ollerias, 23)/Ollerías, 23_thumbnail.jpg","jpg","740",1,1,5,11,"App\\ClinicPosterDistribution","2019-07-05 15:10:44","2019-07-11 18:57:38"
12,"Constitución.jpg","facades/Andujar (Ollerias, 23)","facades/Andujar (Ollerias, 23)/Constitución.jpg","image/jpeg","facades/Andujar (Ollerias, 23)/Constitución_thumbnail.jpg","jpg","740",1,1,5,12,"App\\ClinicPosterDistribution","2019-07-05 15:10:44","2019-07-11 18:57:38"
13,"Santa Clara.jpg","facades/Antequera (Duranes, 23)","facades/Antequera (Duranes, 23)/Santa Clara.jpg","image/jpeg","facades/Antequera (Duranes, 23)/Santa Clara_thumbnail.jpg","jpg","740",1,1,5,13,"App\\ClinicPosterDistribution","2019-07-05 15:10:44","2019-07-11 18:57:38"
14,"Duranes, 23.jpg","facades/Antequera (Duranes, 23)","facades/Antequera (Duranes, 23)/Duranes, 23.jpg","image/jpeg","facades/Antequera (Duranes, 23)/Duranes, 23_thumbnail.jpg","jpg","740",1,1,5,14,"App\\ClinicPosterDistribution","2019-07-05 15:10:44","2019-07-11 18:57:38"
15,"Villanueva.jpg","facades/Badajoz (Manuel Saavedra Palmeiro, 12)","facades/Badajoz (Manuel Saavedra Palmeiro, 12)/Villanueva.jpg","image/jpeg","facades/Badajoz (Manuel Saavedra Palmeiro, 12)/Villanueva_thumbnail.jpg","jpg","740",1,1,5,15,"App\\ClinicPosterDistribution","2019-07-05 15:10:44","2019-07-11 18:57:38"
16,"Manuel Saavedra Palmeiro, 12.jpg","facades/Badajoz (Manuel Saavedra Palmeiro, 12)","facades/Badajoz (Manuel Saavedra Palmeiro, 12)/Manuel Saavedra Palmeiro, 12.jpg","image/jpeg","facades/Badajoz (Manuel Saavedra Palmeiro, 12)/Manuel Saavedra Palmeiro, 12_thumbnail.jpg","jpg","740",1,1,5,16,"App\\ClinicPosterDistribution","2019-07-05 15:10:44","2019-07-11 18:57:38"
17,"Bide-Onera Plaza, 7.jpg","facades/Barakaldo (Bide-Onera Plaza, 7)","facades/Barakaldo (Bide-Onera Plaza, 7)/Bide-Onera Plaza, 7.jpg","image/jpeg","facades/Barakaldo (Bide-Onera Plaza, 7)/Bide-Onera Plaza, 7_thumbnail.jpg","jpg","740",1,1,5,17,"App\\ClinicPosterDistribution","2019-07-05 15:10:45","2019-07-11 18:57:38"
18,"de Guillem Tell,.jpg","facades/Barcelona (Balmes, 284)","facades/Barcelona (Balmes, 284)/de Guillem Tell,.jpg","image/jpeg","facades/Barcelona (Balmes, 284)/de Guillem Tell,_thumbnail.jpg","jpg","740",1,1,5,18,"App\\ClinicPosterDistribution","2019-07-05 15:10:45","2019-07-11 18:57:38"
19,"Balmes, 284.jpg","facades/Barcelona (Balmes, 284)","facades/Barcelona (Balmes, 284)/Balmes, 284.jpg","image/jpeg","facades/Barcelona (Balmes, 284)/Balmes, 284_thumbnail.jpg","jpg","740",1,1,5,19,"App\\ClinicPosterDistribution","2019-07-05 15:10:45","2019-07-11 18:57:38"
20,"de la Conca de Tremp.jpg","facades/Barcelona (del Llobregos, 161)","facades/Barcelona (del Llobregos, 161)/de la Conca de Tremp.jpg","image/jpeg","facades/Barcelona (del Llobregos, 161)/de la Conca de Tremp_thumbnail.jpg","jpg","740",1,1,5,20,"App\\ClinicPosterDistribution","2019-07-05 15:10:45","2019-07-11 18:57:38"
21,"del Llobregós, 161.jpg","facades/Barcelona (del Llobregos, 161)","facades/Barcelona (del Llobregos, 161)/del Llobregós, 161.jpg","image/jpeg","facades/Barcelona (del Llobregos, 161)/del Llobregós, 161_thumbnail.jpg","jpg","740",1,1,5,21,"App\\ClinicPosterDistribution","2019-07-05 15:10:45","2019-07-11 18:57:38"
24,"Vèlia.jpg","facades/Barcelona (Fabra i Puig, 129)","facades/Barcelona (Fabra i Puig, 129)/Vèlia.jpg","image/jpeg","facades/Barcelona (Fabra i Puig, 129)/Vèlia_thumbnail.jpg","jpg","740",1,1,5,24,"App\\ClinicPosterDistribution","2019-07-05 15:10:45","2019-07-11 18:57:38"
25,"Fabra i Puig, 129.jpg","facades/Barcelona (Fabra i Puig, 129)","facades/Barcelona (Fabra i Puig, 129)/Fabra i Puig, 129.jpg","image/jpeg","facades/Barcelona (Fabra i Puig, 129)/Fabra i Puig, 129_thumbnail.jpg","jpg","740",1,1,5,25,"App\\ClinicPosterDistribution","2019-07-05 15:10:45","2019-07-11 18:57:38"
26,"Pallars.jpg","facades/Barcelona (del Poblenou, 104)","facades/Barcelona (del Poblenou, 104)/Pallars.jpg","image/jpeg","facades/Barcelona (del Poblenou, 104)/Pallars_thumbnail.jpg","jpg","740",1,1,5,26,"App\\ClinicPosterDistribution","2019-07-05 15:10:46","2019-07-11 18:57:38"
27,"del Poblenou, 104.jpg","facades/Barcelona (del Poblenou, 104)","facades/Barcelona (del Poblenou, 104)/del Poblenou, 104.jpg","image/jpeg","facades/Barcelona (del Poblenou, 104)/del Poblenou, 104_thumbnail.jpg","jpg","740",1,1,5,27,"App\\ClinicPosterDistribution","2019-07-05 15:10:46","2019-07-11 18:57:38"
28,"Villarroel.jpg","facades/Barcelona (Rda. Sant Antoni, 17)","facades/Barcelona (Rda. Sant Antoni, 17)/Villarroel.jpg","image/jpeg","facades/Barcelona (Rda. Sant Antoni, 17)/Villarroel_thumbnail.jpg","jpg","740",1,1,5,28,"App\\ClinicPosterDistribution","2019-07-05 15:10:46","2019-07-11 18:57:38"
29,"Rda. Sant Antoni, 17.jpg","facades/Barcelona (Rda. Sant Antoni, 17)","facades/Barcelona (Rda. Sant Antoni, 17)/Rda. Sant Antoni, 17.jpg","image/jpeg","facades/Barcelona (Rda. Sant Antoni, 17)/Rda. Sant Antoni, 17_thumbnail.jpg","jpg","740",1,1,5,29,"App\\ClinicPosterDistribution","2019-07-05 15:10:46","2019-07-11 18:57:38"
31,"Rosselló, 416.jpg","facades/Barcelona (Rossello, 416)","facades/Barcelona (Rossello, 416)/Rosselló, 416.jpg","image/jpeg","facades/Barcelona (Rossello, 416)/Rosselló, 416_thumbnail.jpg","jpg","740",1,1,5,31,"App\\ClinicPosterDistribution","2019-07-05 15:10:46","2019-07-11 18:57:38"
32,"de lEspanya Industrial.jpg","facades/Barcelona (Sants, 8)","facades/Barcelona (Sants, 8)/de lEspanya Industrial.jpg","image/jpeg","facades/Barcelona (Sants, 8)/de lEspanya Industrial_thumbnail.jpg","jpg","740",1,1,5,32,"App\\ClinicPosterDistribution","2019-07-05 15:10:46","2019-07-11 18:57:38"
33,"Sants, 8.jpg","facades/Barcelona (Sants, 8)","facades/Barcelona (Sants, 8)/Sants, 8.jpg","image/jpeg","facades/Barcelona (Sants, 8)/Sants, 8_thumbnail.jpg","jpg","740",1,1,5,33,"App\\ClinicPosterDistribution","2019-07-05 15:10:46","2019-07-11 18:57:38"
34,"Begoñako Andra Mari Kalea, 16.jpg","facades/Basauri (Begonako Andra Mari Kalea, 16)","facades/Basauri (Begonako Andra Mari Kalea, 16)/Begoñako Andra Mari Kalea, 16.jpg","image/jpeg","facades/Basauri (Begonako Andra Mari Kalea, 16)/Begoñako Andra Mari Kalea, 16_thumbnail.jpg","jpg","740",1,1,5,34,"App\\ClinicPosterDistribution","2019-07-05 15:10:46","2019-07-11 18:57:38"
35,"Ronda del Progreso.jpg","facades/Benavente (de los Herreros, 16)","facades/Benavente (de los Herreros, 16)/Ronda del Progreso.jpg","image/jpeg","facades/Benavente (de los Herreros, 16)/Ronda del Progreso_thumbnail.jpg","jpg","740",1,1,5,35,"App\\ClinicPosterDistribution","2019-07-05 15:10:46","2019-07-11 18:57:38"
36,"de los Herreros, 16.jpg","facades/Benavente (de los Herreros, 16)","facades/Benavente (de los Herreros, 16)/de los Herreros, 16.jpg","image/jpeg","facades/Benavente (de los Herreros, 16)/de los Herreros, 16_thumbnail.jpg","jpg","740",1,1,5,36,"App\\ClinicPosterDistribution","2019-07-05 15:10:46","2019-07-11 18:57:38"
37,"de Tomás Ortuño.jpg","facades/Benidorm (de Venus, 2)","facades/Benidorm (de Venus, 2)/de Tomás Ortuño.jpg","image/jpeg","facades/Benidorm (de Venus, 2)/de Tomás Ortuño_thumbnail.jpg","jpg","740",1,1,5,37,"App\\ClinicPosterDistribution","2019-07-05 15:10:46","2019-07-11 18:57:38"
38,"de Venus, 2.jpg","facades/Benidorm (de Venus, 2)","facades/Benidorm (de Venus, 2)/de Venus, 2.jpg","image/jpeg","facades/Benidorm (de Venus, 2)/de Venus, 2_thumbnail.jpg","jpg","740",1,1,5,38,"App\\ClinicPosterDistribution","2019-07-05 15:10:46","2019-07-11 18:57:38"
40,"Karmelo Kalea.jpg","facades/Bilbao (Aita Esteban Pernet, 2)","facades/Bilbao (Aita Esteban Pernet, 2)/Karmelo Kalea.jpg","image/jpeg","facades/Bilbao (Aita Esteban Pernet, 2)/Karmelo Kalea_thumbnail.jpg","jpg","740",1,1,5,40,"App\\ClinicPosterDistribution","2019-07-05 15:10:47","2019-07-11 18:57:39"
41,"Juan Carlos I, 53.jpg","facades/Boadilla del Monte (Juan Carlos I, 53)","facades/Boadilla del Monte (Juan Carlos I, 53)/Juan Carlos I, 53.jpg","image/jpeg","facades/Boadilla del Monte (Juan Carlos I, 53)/Juan Carlos I, 53_thumbnail.jpg","jpg","740",1,1,5,41,"App\\ClinicPosterDistribution","2019-07-05 15:10:47","2019-07-11 18:57:39"
42,"de Majadahonda.jpg","facades/Boadilla del Monte (Juan Carlos I, 53)","facades/Boadilla del Monte (Juan Carlos I, 53)/de Majadahonda.jpg","image/jpeg","facades/Boadilla del Monte (Juan Carlos I, 53)/de Majadahonda_thumbnail.jpg","jpg","740",1,1,5,42,"App\\ClinicPosterDistribution","2019-07-05 15:10:47","2019-07-11 18:57:39"
43,"del Cid Campeador, 3.jpg","facades/Burgos (del Cid Campeador, 3)","facades/Burgos (del Cid Campeador, 3)/del Cid Campeador, 3.jpg","image/jpeg","facades/Burgos (del Cid Campeador, 3)/del Cid Campeador, 3_thumbnail.jpg","jpg","740",1,1,5,43,"App\\ClinicPosterDistribution","2019-07-05 15:10:47","2019-07-11 18:57:39"
44,"Gral. Santocildes.jpg","facades/Burgos (del Cid Campeador, 3)","facades/Burgos (del Cid Campeador, 3)/Gral. Santocildes.jpg","image/jpeg","facades/Burgos (del Cid Campeador, 3)/Gral. Santocildes_thumbnail.jpg","jpg","740",1,1,5,44,"App\\ClinicPosterDistribution","2019-07-05 15:10:47","2019-07-11 18:57:39"
45,"Gil Cordero.jpg","facades/Caceres (Plaza America, 4)","facades/Caceres (Plaza America, 4)/Gil Cordero.jpg","image/jpeg","facades/Caceres (Plaza America, 4)/Gil Cordero_thumbnail.jpg","jpg","740",1,1,5,45,"App\\ClinicPosterDistribution","2019-07-05 15:10:47","2019-07-11 18:57:39"
46,"Plaza América, 4.jpg","facades/Caceres (Plaza America, 4)","facades/Caceres (Plaza America, 4)/Plaza América, 4.jpg","image/jpeg","facades/Caceres (Plaza America, 4)/Plaza América, 4_thumbnail.jpg","jpg","740",1,1,5,46,"App\\ClinicPosterDistribution","2019-07-05 15:10:47","2019-07-11 18:57:39"
47,"Puertas de Murcia, 31-35.jpg","facades/Cartagena (Puertas de Murcia, 31-35)","facades/Cartagena (Puertas de Murcia, 31-35)/Puertas de Murcia, 31-35.jpg","image/jpeg","facades/Cartagena (Puertas de Murcia, 31-35)/Puertas de Murcia, 31-35_thumbnail.jpg","jpg","740",1,1,5,47,"App\\ClinicPosterDistribution","2019-07-05 15:10:47","2019-07-11 18:57:39"
48,"Castellini.jpg","facades/Cartagena (Puertas de Murcia, 31-35)","facades/Cartagena (Puertas de Murcia, 31-35)/Castellini.jpg","image/jpeg","facades/Cartagena (Puertas de Murcia, 31-35)/Castellini_thumbnail.jpg","jpg","740",1,1,5,48,"App\\ClinicPosterDistribution","2019-07-05 15:10:47","2019-07-11 18:57:39"
49,"Gasset.jpg","facades/Castellon (Puerta del Sol, 2)","facades/Castellon (Puerta del Sol, 2)/Gasset.jpg","image/jpeg","facades/Castellon (Puerta del Sol, 2)/Gasset_thumbnail.jpg","jpg","740",1,1,5,49,"App\\ClinicPosterDistribution","2019-07-05 15:10:47","2019-07-11 18:57:39"
50,"Falcó.jpg","facades/Castellon (Puerta del Sol, 2)","facades/Castellon (Puerta del Sol, 2)/Falcó.jpg","image/jpeg","facades/Castellon (Puerta del Sol, 2)/Falcó_thumbnail.jpg","jpg","740",1,1,5,50,"App\\ClinicPosterDistribution","2019-07-05 15:10:47","2019-07-11 18:57:39"
51,"Pérez Galdós.jpg","facades/Castro Urdiales (La Ronda, 28)","facades/Castro Urdiales (La Ronda, 28)/Pérez Galdós.jpg","image/jpeg","facades/Castro Urdiales (La Ronda, 28)/Pérez Galdós_thumbnail.jpg","jpg","740",1,1,5,51,"App\\ClinicPosterDistribution","2019-07-05 15:10:48","2019-07-11 18:57:39"
52,"La Ronda, 28.jpg","facades/Castro Urdiales (La Ronda, 28)","facades/Castro Urdiales (La Ronda, 28)/La Ronda, 28.jpg","image/jpeg","facades/Castro Urdiales (La Ronda, 28)/La Ronda, 28_thumbnail.jpg","jpg","740",1,1,5,52,"App\\ClinicPosterDistribution","2019-07-05 15:10:48","2019-07-11 18:57:39"
53,"Delgado Serrano, 1.jpg","facades/Ceuta (Delgado Serrano, 1)","facades/Ceuta (Delgado Serrano, 1)/Delgado Serrano, 1.jpg","image/jpeg","facades/Ceuta (Delgado Serrano, 1)/Delgado Serrano, 1_thumbnail.jpg","jpg","740",1,1,5,53,"App\\ClinicPosterDistribution","2019-07-05 15:10:48","2019-07-11 18:57:39"
54,"Camoens.jpg","facades/Ceuta (Delgado Serrano, 1)","facades/Ceuta (Delgado Serrano, 1)/Camoens.jpg","image/jpeg","facades/Ceuta (Delgado Serrano, 1)/Camoens_thumbnail.jpg","jpg","740",1,1,5,54,"App\\ClinicPosterDistribution","2019-07-05 15:10:48","2019-07-11 18:57:39"
55,"Artesano Pepe Marín, 2.jpg","facades/Chiclana de la Frontera (Artesano Pepe Marin, 2)","facades/Chiclana de la Frontera (Artesano Pepe Marin, 2)/Artesano Pepe Marín, 2.jpg","image/jpeg","facades/Chiclana de la Frontera (Artesano Pepe Marin, 2)/Artesano Pepe Marín, 2_thumbnail.jpg","jpg","740",1,1,5,55,"App\\ClinicPosterDistribution","2019-07-05 15:10:48","2019-07-11 18:57:39"
56,"la Plaza.jpg","facades/Chiclana de la Frontera (Artesano Pepe Marin, 2)","facades/Chiclana de la Frontera (Artesano Pepe Marin, 2)/la Plaza.jpg","image/jpeg","facades/Chiclana de la Frontera (Artesano Pepe Marin, 2)/la Plaza_thumbnail.jpg","jpg","740",1,1,5,56,"App\\ClinicPosterDistribution","2019-07-05 15:10:48","2019-07-11 18:57:39"
57,"Prado.jpg","facades/Ciudad Real (Postas, 2)","facades/Ciudad Real (Postas, 2)/Prado.jpg","image/jpeg","facades/Ciudad Real (Postas, 2)/Prado_thumbnail.jpg","jpg","740",1,1,5,57,"App\\ClinicPosterDistribution","2019-07-05 15:10:48","2019-07-11 18:57:39"
58,"Postas, 2.jpg","facades/Ciudad Real (Postas, 2)","facades/Ciudad Real (Postas, 2)/Postas, 2.jpg","image/jpeg","facades/Ciudad Real (Postas, 2)/Postas, 2_thumbnail.jpg","jpg","740",1,1,5,58,"App\\ClinicPosterDistribution","2019-07-05 15:10:48","2019-07-11 18:57:39"
60,"de la Feria.jpg","facades/Colmenar Viejo (Boteros, 3)","facades/Colmenar Viejo (Boteros, 3)/de la Feria.jpg","image/jpeg","facades/Colmenar Viejo (Boteros, 3)/de la Feria_thumbnail.jpg","jpg","740",1,1,5,60,"App\\ClinicPosterDistribution","2019-07-05 15:10:48","2019-07-11 18:57:39"
61,"Boteros, 3.jpg","facades/Colmenar Viejo (Boteros, 3)","facades/Colmenar Viejo (Boteros, 3)/Boteros, 3.jpg","image/jpeg","facades/Colmenar Viejo (Boteros, 3)/Boteros, 3_thumbnail.jpg","jpg","740",1,1,5,61,"App\\ClinicPosterDistribution","2019-07-05 15:10:48","2019-07-11 18:57:39"
62,"José Cruz Conde, 12.jpg","facades/Cordoba (Jose Cruz Conde, 12)","facades/Cordoba (Jose Cruz Conde, 12)/José Cruz Conde, 12.jpg","image/jpeg","facades/Cordoba (Jose Cruz Conde, 12)/José Cruz Conde, 12_thumbnail.jpg","jpg","740",1,1,5,62,"App\\ClinicPosterDistribution","2019-07-05 15:10:48","2019-07-11 18:57:39"
63,"Góngora.jpg","facades/Cordoba (Jose Cruz Conde, 12)","facades/Cordoba (Jose Cruz Conde, 12)/Góngora.jpg","image/jpeg","facades/Cordoba (Jose Cruz Conde, 12)/Góngora_thumbnail.jpg","jpg","740",1,1,5,63,"App\\ClinicPosterDistribution","2019-07-05 15:10:49","2019-07-11 18:57:39"
64,"del Dr. Marañón.jpg","facades/Coslada (Constitucion, 86)","facades/Coslada (Constitucion, 86)/del Dr. Marañón.jpg","image/jpeg","facades/Coslada (Constitucion, 86)/del Dr. Marañón_thumbnail.jpg","jpg","740",1,1,5,64,"App\\ClinicPosterDistribution","2019-07-05 15:10:49","2019-07-11 18:57:39"
65,"Constitución, 86.jpg","facades/Coslada (Constitucion, 86)","facades/Coslada (Constitucion, 86)/Constitución, 86.jpg","image/jpeg","facades/Coslada (Constitucion, 86)/Constitución, 86_thumbnail.jpg","jpg","740",1,1,5,65,"App\\ClinicPosterDistribution","2019-07-05 15:10:49","2019-07-11 18:57:39"
66,"Castilla La Mancha, 2.jpg","facades/Cuenca (Castilla La Mancha, 2)","facades/Cuenca (Castilla La Mancha, 2)/Castilla La Mancha, 2.jpg","image/jpeg","facades/Cuenca (Castilla La Mancha, 2)/Castilla La Mancha, 2_thumbnail.jpg","jpg","740",1,1,5,66,"App\\ClinicPosterDistribution","2019-07-05 15:10:49","2019-07-11 18:57:39"
67,"Ramón y Cajal, 18.jpg","facades/Don Benito (Ramon y Cajal, 18)","facades/Don Benito (Ramon y Cajal, 18)/Ramón y Cajal, 18.jpg","image/jpeg","facades/Don Benito (Ramon y Cajal, 18)/Ramón y Cajal, 18_thumbnail.jpg","jpg","740",1,1,5,67,"App\\ClinicPosterDistribution","2019-07-05 15:10:49","2019-07-11 18:57:39"
68,"Andra Mari Kalea, 4.jpg","facades/Durango (Andra Mari Kalea, 4)","facades/Durango (Andra Mari Kalea, 4)/Andra Mari Kalea, 4.jpg","image/jpeg","facades/Durango (Andra Mari Kalea, 4)/Andra Mari Kalea, 4_thumbnail.jpg","jpg","740",1,1,5,68,"App\\ClinicPosterDistribution","2019-07-05 15:10:49","2019-07-11 18:57:39"
69,"Toribio Etxebarria Kalea, 13.jpg","facades/Eibar (Toribio Etxebarria Kalea, 13)","facades/Eibar (Toribio Etxebarria Kalea, 13)/Toribio Etxebarria Kalea, 13.jpg","image/jpeg","facades/Eibar (Toribio Etxebarria Kalea, 13)/Toribio Etxebarria Kalea, 13_thumbnail.jpg","jpg","740",1,1,5,69,"App\\ClinicPosterDistribution","2019-07-05 15:10:49","2019-07-11 18:57:40"
70,"Bulevar de El Ejido, 222.jpg","facades/El Ejido (Bulevar de El Ejido, 222)","facades/El Ejido (Bulevar de El Ejido, 222)/Bulevar de El Ejido, 222.jpg","image/jpeg","facades/El Ejido (Bulevar de El Ejido, 222)/Bulevar de El Ejido, 222_thumbnail.jpg","jpg","740",1,1,5,70,"App\\ClinicPosterDistribution","2019-07-05 15:10:50","2019-07-11 18:57:40"
71,"Garcia Espin.jpg","facades/El Ejido (Bulevar de El Ejido, 222)","facades/El Ejido (Bulevar de El Ejido, 222)/Garcia Espin.jpg","image/jpeg","facades/El Ejido (Bulevar de El Ejido, 222)/Garcia Espin_thumbnail.jpg","jpg","740",1,1,5,71,"App\\ClinicPosterDistribution","2019-07-05 15:10:50","2019-07-11 18:57:40"
72,"Ganado.jpg","facades/El Puerto de Santa Maria (Virgen de los Milagros, 87)","facades/El Puerto de Santa Maria (Virgen de los Milagros, 87)/Ganado.jpg","image/jpeg","facades/El Puerto de Santa Maria (Virgen de los Milagros, 87)/Ganado_thumbnail.jpg","jpg","740",1,1,5,72,"App\\ClinicPosterDistribution","2019-07-05 15:10:50","2019-07-11 18:57:40"
73,"Ricardo Alcón.jpg","facades/El Puerto de Santa Maria (Virgen de los Milagros, 87)","facades/El Puerto de Santa Maria (Virgen de los Milagros, 87)/Ricardo Alcón.jpg","image/jpeg","facades/El Puerto de Santa Maria (Virgen de los Milagros, 87)/Ricardo Alcón_thumbnail.jpg","jpg","740",1,1,5,73,"App\\ClinicPosterDistribution","2019-07-05 15:10:50","2019-07-11 18:57:40"
74,"Virgen de los Milagros, 87.jpg","facades/El Puerto de Santa Maria (Virgen de los Milagros, 87)","facades/El Puerto de Santa Maria (Virgen de los Milagros, 87)/Virgen de los Milagros, 87.jpg","image/jpeg","facades/El Puerto de Santa Maria (Virgen de los Milagros, 87)/Virgen de los Milagros, 87_thumbnail.jpg","jpg","740",1,1,5,74,"App\\ClinicPosterDistribution","2019-07-05 15:10:50","2019-07-11 18:57:40"
75,"La Rambla, 8.jpg","facades/El Vendrell (La Rambla, 8)","facades/El Vendrell (La Rambla, 8)/La Rambla, 8.jpg","image/jpeg","facades/El Vendrell (La Rambla, 8)/La Rambla, 8_thumbnail.jpg","jpg","740",1,1,5,75,"App\\ClinicPosterDistribution","2019-07-05 15:10:50","2019-07-11 18:57:40"
76,"Sta. Ana.jpg","facades/Estepona (Espana, 126)","facades/Estepona (Espana, 126)/Sta. Ana.jpg","image/jpeg","facades/Estepona (Espana, 126)/Sta. Ana_thumbnail.jpg","jpg","740",1,1,5,76,"App\\ClinicPosterDistribution","2019-07-05 15:10:50","2019-07-11 18:57:40"
77,"España, 126.jpg","facades/Estepona (Espana, 126)","facades/Estepona (Espana, 126)/España, 126.jpg","image/jpeg","facades/Estepona (Espana, 126)/España, 126_thumbnail.jpg","jpg","740",1,1,5,77,"App\\ClinicPosterDistribution","2019-07-05 15:10:50","2019-07-11 18:57:40"
79,"Real, 78.jpg","facades/Ferrol (Real, 78)","facades/Ferrol (Real, 78)/Real, 78.jpg","image/jpeg","facades/Ferrol (Real, 78)/Real, 78_thumbnail.jpg","jpg","740",1,1,5,79,"App\\ClinicPosterDistribution","2019-07-05 15:10:50","2019-07-11 18:57:40"
80,"Pep Ventura, 1.jpg","facades/Figueres (Pujada del Castell, 11)","facades/Figueres (Pujada del Castell, 11)/Pep Ventura, 1.jpg","image/jpeg","facades/Figueres (Pujada del Castell, 11)/Pep Ventura, 1_thumbnail.jpg","jpg","740",1,1,5,80,"App\\ClinicPosterDistribution","2019-07-05 15:10:51","2019-07-11 18:57:40"
81,"Pujada del Castell, 11.jpg","facades/Figueres (Pujada del Castell, 11)","facades/Figueres (Pujada del Castell, 11)/Pujada del Castell, 11.jpg","image/jpeg","facades/Figueres (Pujada del Castell, 11)/Pujada del Castell, 11_thumbnail.jpg","jpg","740",1,1,5,81,"App\\ClinicPosterDistribution","2019-07-05 15:10:51","2019-07-11 18:57:40"
82,"Condes de San Isidro, 15.jpg","facades/Fuengirola (Condes de San Isidro, 15)","facades/Fuengirola (Condes de San Isidro, 15)/Condes de San Isidro, 15.jpg","image/jpeg","facades/Fuengirola (Condes de San Isidro, 15)/Condes de San Isidro, 15_thumbnail.jpg","jpg","740",1,1,5,82,"App\\ClinicPosterDistribution","2019-07-05 15:10:51","2019-07-11 18:57:40"
83,"de Leganés.jpg","facades/Fuenlabrada (Malaga, 1)","facades/Fuenlabrada (Malaga, 1)/de Leganés.jpg","image/jpeg","facades/Fuenlabrada (Malaga, 1)/de Leganés_thumbnail.jpg","jpg","740",1,1,5,83,"App\\ClinicPosterDistribution","2019-07-05 15:10:51","2019-07-11 18:57:40"
