id,"iso_name","native_name","639-1","639-2/T","639-2/B","639-3","notes","created_at","updated_at"
41,"English","English","en","eng","eng","eng",,,
42,"Esperanto","Esperanto","eo","epo","epo","epo",,,
43,"Estonian","eesti, eesti keel","et","est","est","est + 2",,,
44,"Ewe","Eʋegbe","ee","ewe","ewe","ewe",,,
45,"Faroese","føroyskt","fo","fao","fao","fao",,,
46,"Fijian","vosa Vakaviti","fj","fij","fij","fij",,,
47,"Finnish","suomi, suomen kieli","fi","fin","fin","fin",,,
48,"French","français, langue française","fr","fra","fre","fra",,,
49,"Fulah","Fulfulde, Pulaar, Pular","ff","ful","ful","ful + 9",,,
50,"Galician","Galego","gl","glg","glg","glg",,,
51,"Georgian","ქართული","ka","kat","geo","kat",,,
52,"German","Deutsch","de","deu","ger","deu",,,
53,"Greek, Modern (1453-)","ελληνικά","el","ell","gre","ell",,,
54,"Guarani","Avañe'ẽ","gn","grn","grn","grn + 5",,,
55,"Gujarati","ગુજરાતી","gu","guj","guj","guj",,,
56,"Haitian, Haitian Creole","Kreyòl ayisyen","ht","hat","hat","hat",,,
57,"Hausa","(Hausa) هَوُسَ","ha","hau","hau","hau",,,
58,"Hebrew","עברית","he","heb","heb","heb",,,
59,"Herero","Otjiherero","hz","her","her","her",,,
60,"Hindi","हिन्दी, हिंदी","hi","hin","hin","hin",,,
61,"Hiri Motu","Hiri Motu","ho","hmo","hmo","hmo",,,
62,"Hungarian","magyar","hu","hun","hun","hun",,,
63,"Interlingua (International Auxiliary Language Association)","Interlingua","ia","ina","ina","ina",,,
64,"Indonesian","Bahasa Indonesia","id","ind","ind","ind",,,
65,"Interlingue, Occidental","Originally called Occidental; then Interlingue after WWII","ie","ile","ile","ile",,,
66,"Irish","Gaeilge","ga","gle","gle","gle",,,
67,"Igbo","Asụsụ Igbo","ig","ibo","ibo","ibo",,,
68,"Inupiaq","Iñupiaq, Iñupiatun","ik","ipk","ipk","ipk + 2",,,
69,"Ido","Ido","io","ido","ido","ido",,,
70,"Icelandic","Íslenska","is","isl","ice","isl",,,
71,"Italian","Italiano","it","ita","ita","ita",,,
72,"Inuktitut","ᐃᓄᒃᑎᑐᑦ","iu","iku","iku","iku + 2",,,
73,"Japanese","日本語 (にほんご)","ja","jpn","jpn","jpn",,,
74,"Javanese","ꦧꦱꦗꦮ, Basa Jawa","jv","jav","jav","jav",,,
75,"Kalaallisut, Greenlandic","kalaallisut, kalaallit oqaasii","kl","kal","kal","kal",,,
76,"Kannada","ಕನ್ನಡ","kn","kan","kan","kan",,,
77,"Kanuri","Kanuri","kr","kau","kau","kau + 3",,,
78,"Kashmiri","कश्मीरी, كشميري‎","ks","kas","kas","kas",,,
79,"Kazakh","қазақ тілі","kk","kaz","kaz","kaz",,,
80,"Central Khmer","ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ","km","khm","khm","khm",,,
81,"Kikuyu, Gikuyu","Gĩkũyũ","ki","kik","kik","kik",,,
82,"Kinyarwanda","Ikinyarwanda","rw","kin","kin","kin",,,
83,"Kirghiz, Kyrgyz","Кыргызча, Кыргыз тили","ky","kir","kir","kir",,,
84,"Komi","коми кыв","kv","kom","kom","kom + 2",,,
85,"Kongo","Kikongo","kg","kon","kon","kon + 3",,,
86,"Korean","한국어","ko","kor","kor","kor",,,
87,"Kurdish","Kurdî, کوردی‎","ku","kur","kur","kur + 3",,,
88,"Kuanyama, Kwanyama","Kuanyama","kj","kua","kua","kua",,,
89,"Latin","latine, lingua latina","la","lat","lat","lat",,,
90,"Luxembourgish, Letzeburgesch","Lëtzebuergesch","lb","ltz","ltz","ltz",,,
91,"Ganda","Luganda","lg","lug","lug","lug",,,
92,"Limburgan, Limburger, Limburgish","Limburgs","li","lim","lim","lim",,,
93,"Lingala","Lingála","ln","lin","lin","lin",,,
94,"Lao","ພາສາລາວ","lo","lao","lao","lao",,,
95,"Lithuanian","lietuvių kalba","lt","lit","lit","lit",,,
96,"Luba-Katanga","Kiluba","lu","lub","lub","lub",,,
97,"Latvian","latviešu valoda","lv","lav","lav","lav + 2",,,
98,"Manx","Gaelg, Gailck","gv","glv","glv","glv",,,
99,"Macedonian","македонски јазик","mk","mkd","mac","mkd",,,
100,"Malagasy","fiteny malagasy","mg","mlg","mlg","mlg + 11",,,
101,"Malay","Bahasa Melayu, بهاس ملايو‎","ms","msa","may","msa + 36",,,
102,"Malayalam","മലയാളം","ml","mal","mal","mal",,,
103,"Maltese","Malti","mt","mlt","mlt","mlt",,,
104,"Maori","te reo Māori","mi","mri","mao","mri",,,
105,"Marathi","मराठी","mr","mar","mar","mar",,,
106,"Marshallese","Kajin M̧ajeļ","mh","mah","mah","mah",,,
107,"Mongolian","Монгол хэл","mn","mon","mon","mon + 2",,,
108,"Nauru","Dorerin Naoero","na","nau","nau","nau",,,
109,"Navajo, Navaho","Diné bizaad","nv","nav","nav","nav",,,
110,"North Ndebele","isiNdebele","nd","nde","nde","nde",,,
111,"Nepali","नेपाली","ne","nep","nep","nep + 2",,,
112,"Ndonga","Owambo","ng","ndo","ndo","ndo",,,
113,"Norwegian Bokmål","Norsk Bokmål","nb","nob","nob","nob",,,
114,"Norwegian Nynorsk","Norsk Nynorsk","nn","nno","nno","nno",,,
115,"Norwegian","Norsk","no","nor","nor","nor + 2",,,
116,"Sichuan Yi, Nuosu","ꆈꌠ꒿ Nuosuhxop","ii","iii","iii","iii",,,
117,"South Ndebele","isiNdebele","nr","nbl","nbl","nbl",,,
118,"Occitan","occitan, lenga d'òc","oc","oci","oci","oci",,,
119,"Ojibwa","ᐊᓂᔑᓈᐯᒧᐎᓐ","oj","oji","oji","oji + 7",,,
120,"Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic","ѩзыкъ словѣньскъ","cu","chu","chu","chu",,,
121,"Oromo","Afaan Oromoo","om","orm","orm","orm + 4",,,
122,"Oriya","ଓଡ଼ିଆ","or","ori","ori","ori + 2",,,
123,"Ossetian, Ossetic","ирон æвзаг","os","oss","oss","oss",,,
124,"Panjabi, Punjabi","ਪੰਜਾਬੀ","pa","pan","pan","pan",,,
125,"Pali","पाऴि","pi","pli","pli","pli",,,
126,"Persian","فارسی","fa","fas","per","fas + 2",,,
127,"Polish","język polski, polszczyzna","pl","pol","pol","pol",,,
128,"Pashto, Pushto","پښتو","ps","pus","pus","pus + 3",,,
129,"Portuguese","Português","pt","por","por","por",,,
130,"Quechua","Runa Simi, Kichwa","qu","que","que","que + 43",,,
131,"Romansh","Rumantsch Grischun","rm","roh","roh","roh",,,
132,"Rundi","Ikirundi","rn","run","run","run",,,
133,"Romanian, Moldavian, Moldovan","Română","ro","ron","rum","ron",,,
134,"Russian","русский","ru","rus","rus","rus",,,
135,"Sanskrit","संस्कृतम्","sa","san","san","san",,,
136,"Sardinian","sardu","sc","srd","srd","srd + 4",,,
137,"Sindhi","सिन्धी, سنڌي، سندھی‎","sd","snd","snd","snd",,,
138,"Northern Sami","Davvisámegiella","se","sme","sme","sme",,,
139,"Samoan","gagana fa'a Samoa","sm","smo","smo","smo",,,
140,"Sango","yângâ tî sängö","sg","sag","sag","sag",,,
141,"Serbian","српски језик","sr","srp","srp","srp",,,
142,"Gaelic, Scottish Gaelic","Gàidhlig","gd","gla","gla","gla",,,
143,"Shona","chiShona","sn","sna","sna","sna",,,
144,"Sinhala, Sinhalese","සිංහල","si","sin","sin","sin",,,
145,"Slovak","Slovenčina, Slovenský Jazyk","sk","slk","slo","slk",,,
146,"Slovenian","Slovenski Jezik, Slovenščina","sl","slv","slv","slv",,,
147,"Somali","Soomaaliga, af Soomaali","so","som","som","som",,,
148,"Southern Sotho","Sesotho","st","sot","sot","sot",,,
149,"Spanish, Castilian","Español","es","spa","spa","spa",,,
150,"Sundanese","Basa Sunda","su","sun","sun","sun",,,
151,"Swahili","Kiswahili","sw","swa","swa","swa + 2",,,
152,"Swati","SiSwati","ss","ssw","ssw","ssw",,,
153,"Swedish","Svenska","sv","swe","swe","swe",,,
154,"Tamil","தமிழ்","ta","tam","tam","tam",,,
155,"Telugu","తెలుగు","te","tel","tel","tel",,,
156,"Tajik","тоҷикӣ, toçikī, تاجیکی‎","tg","tgk","tgk","tgk",,,
157,"Thai","ไทย","th","tha","tha","tha",,,
158,"Tigrinya","ትግርኛ","ti","tir","tir","tir",,,
159,"Tibetan","བོད་ཡིག","bo","bod","tib","bod",,,
160,"Turkmen","Türkmen, Түркмен","tk","tuk","tuk","tuk",,,
161,"Tagalog","Wikang Tagalog","tl","tgl","tgl","tgl",,,
162,"Tswana","Setswana","tn","tsn","tsn","tsn",,,
163,"Tonga (Tonga Islands)","Faka Tonga","to","ton","ton","ton",,,
164,"Turkish","Türkçe","tr","tur","tur","tur",,,
165,"Tsonga","Xitsonga","ts","tso","tso","tso",,,
166,"Tatar","татар теле, tatar tele","tt","tat","tat","tat",,,
167,"Twi","Twi","tw","twi","twi","twi",,,
168,"Tahitian","Reo Tahiti","ty","tah","tah","tah",,,
169,"Uighur, Uyghur","ئۇيغۇرچە‎, Uyghurche","ug","uig","uig","uig",,,
170,"Ukrainian","Українська","uk","ukr","ukr","ukr",,,
171,"Urdu","اردو","ur","urd","urd","urd",,,
172,"Uzbek","Oʻzbek, Ўзбек, أۇزبېك‎","uz","uzb","uzb","uzb + 2",,,
173,"Venda","Tshivenḓa","ve","ven","ven","ven",,,
174,"Vietnamese","Tiếng Việt","vi","vie","vie","vie",,,
175,"Volapük","Volapük","vo","vol","vol","vol",,,
176,"Walloon","Walon","wa","wln","wln","wln",,,
177,"Welsh","Cymraeg","cy","cym","wel","cym",,,
178,"Wolof","Wollof","wo","wol","wol","wol",,,
179,"Western Frisian","Frysk","fy","fry","fry","fry",,,
180,"Xhosa","isiXhosa","xh","xho","xho","xho",,,
181,"Yiddish","ייִדיש","yi","yid","yid","yid + 2",,,
182,"Yoruba","Yorùbá","yo","yor","yor","yor",,,
183,"Zhuang, Chuang","Saɯ cueŋƅ, Saw cuengh","za","zha","zha","zha + 16",,,
184,"Zulu","isiZulu","zu","zul","zul","zul",,,
