id,"city","district","nickname","postal_code","email_ext",cost_center_id,parent_id,county_id,language_id,"sanitary_code",clinic_manager_id,area_manager_id,clinic_cloud_id,"oracle_id",closed,"starts_at","ends_at","created_at","updated_at","deleted_at"
33,"Boadilla del Monte",NULL,"Boadilla del Monte (Juan Carlos I, 53)","28660","boadilla",30,NULL,28,149,"CS13317.",NULL,NULL,151,"151 Boadilla del Monte",0,"2014-09-29",NULL,"2017-12-31 00:00:00","2019-06-21 10:39:00",NULL
34,"Burgos",NULL,"Burgos (del Cid Campeador, 3)","9003","burgos",32,NULL,9,149,"09-C251-0166.",NULL,NULL,36,"36 Burgos",0,"2013-04-01",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
35,"Cádiz",NULL,"Cadiz (Doctor Fleming, 2)","11009","cadiz",35,NULL,11,149,"42597.",NULL,NULL,149,"149 Cádiz",0,"2014-08-08",NULL,"2017-12-31 00:00:00","2019-07-18 17:41:45",NULL
36,"Cambrils",NULL,"Cambrils (de Pau Casals, 45)","43850","cambrils",36,NULL,43,26,"E43625919.",NULL,NULL,259,"259 Cambrils",0,"2017-02-13",NULL,"2017-12-31 00:00:00","2019-06-21 10:40:18",NULL
37,"Cartagena",NULL,"Cartagena (Puertas de Murcia, 31-35)","30201","cartagena",38,NULL,30,149,"40001401.",NULL,NULL,131,"131 Cartagena",0,"2014-12-22",NULL,"2017-12-31 00:00:00","2019-10-17 09:59:53",NULL
38,"Castelldefels",NULL,"Castelldefels (Santa Maria, 11)","8860","castelldefels",39,NULL,8,26,"E08591378.",NULL,NULL,125,"125 Castelldefels",0,"2014-07-07",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
39,"Castellón",NULL,"Castellon (Puerta del Sol, 2)","12001","castellon",40,NULL,12,149,"13609.",NULL,NULL,152,"152 Castellón",0,"2014-10-22",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
40,"Castro Urdiales",NULL,"Castro Urdiales (La Ronda, 28)","39700","castrourdiales",NULL,NULL,39,149,"06/2016/02709.",NULL,NULL,237,"237 Castro Urdiales",0,"2016-03-31",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
41,"Ciudad Real",NULL,"Ciudad Real (Postas, 2)","13001","ciudadreal",43,NULL,13,149,"1307557/1311144.",NULL,NULL,242,"242 Ciudad Real - Postas",0,"2016-05-23",NULL,"2017-12-31 00:00:00","2019-06-21 10:42:33",NULL
42,"Collado Villalba",NULL,"Collado Villalba (Real, 45)","28400","villalba",45,NULL,28,149,"CS13896.",NULL,NULL,132,"132 Collado Villalba",0,"2016-06-14",NULL,"2017-12-31 00:00:00","2019-06-21 10:42:48",NULL
43,"Colmenar Viejo",NULL,"Colmenar Viejo (Boteros, 3)","28770","colmenarviejo",46,NULL,28,149,"CS13247.",NULL,NULL,181,"181 Colmenar Viejo",0,"2015-02-23",NULL,"2017-12-31 00:00:00","2019-10-17 10:38:27",NULL
44,"Córdoba",NULL,"Cordoba (Jose Cruz Conde, 12)","14003","cordoba",47,NULL,14,149,"41042.",NULL,NULL,21,"21 Córdoba",0,"2013-11-01",NULL,"2017-12-31 00:00:00","2019-06-21 10:43:21",NULL
45,"Cornellà de Llobregat",NULL,"Cornella de Llobregat (de Josep Anselm Clave, 26)","8940","cornella",48,NULL,8,26,"E08590335.",NULL,NULL,146,"146 Cornellá",0,"2014-07-18",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
46,"Coslada",NULL,"Coslada (Constitucion, 86)","28821","coslada",49,NULL,28,149,"CS13203.",NULL,NULL,166,"166 Coslada",0,"2015-02-04",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
47,"Cuenca",NULL,"Cuenca (Castilla La Mancha, 2)","16002","cuenca",50,NULL,16,149,"1606933/1609641.",NULL,NULL,133,"133 Cuenca",0,"2014-08-30",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
48,"Dénia",NULL,"Denia (Marques de Campo, 64)","3700","denia",52,NULL,3,149,"18219.",NULL,NULL,252,"252 Denia",0,"2016-07-18",NULL,"2017-12-31 00:00:00","2019-06-21 10:44:57",NULL
49,"Dos Hermanas",NULL,"Dos Hermanas (La Mina, 1)","41700","doshermanas",54,NULL,41,149,"41371.",NULL,NULL,11,"11 Dos Hermanas",0,"2014-03-24",NULL,"2017-12-31 00:00:00","2019-06-21 10:45:32",NULL
50,"Durango",NULL,"Durango (Andra Mari Kalea, 4)","48200","durango",55,NULL,48,149,"48 C.2.5.1. 11056.",NULL,NULL,224,"224 Durango",0,"2015-11-16",NULL,"2017-12-31 00:00:00","2019-10-17 10:00:18",NULL
51,"El Ejido",NULL,"El Ejido (Bulevar de El Ejido, 222)","4700","elejido",56,NULL,4,149,"47851.",NULL,NULL,267,"267 El Ejido",0,"2017-02-13",NULL,"2017-12-31 00:00:00","2019-06-21 10:46:30",NULL
52,"El Prat de Llobregat",NULL,"El Prat de Llobregat (de la Verge de Montserrat, 105)","8820","elprat",58,NULL,8,26,"E08626983.",NULL,NULL,269,"269 El Prat De Llobregat",0,"2016-11-11",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
53,"El Puerto de Santa María",NULL,"El Puerto de Santa Maria (Virgen de los Milagros, 87)","11500","elpuerto",NULL,NULL,11,149,"45641.",NULL,NULL,190,"190 Puerto De Santa Maria",0,"2015-12-15",NULL,"2017-12-31 00:00:00","2019-06-21 10:47:13",NULL
54,"Elche",NULL,"Elche (de la Glorieta, 9)","3203","elche",59,NULL,3,149,"12911.",NULL,NULL,5,"5 Elche",0,"2014-02-06",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
55,"Elda",NULL,"Elda (Principe de Asturias, 25)","3600","elda",60,NULL,3,149,"18221.",NULL,NULL,268,"268 Elda",0,"2016-08-01",NULL,"2017-12-31 00:00:00","2019-06-21 10:48:10",NULL
56,"Estepona",NULL,"Estepona (Espana, 126)","29680","estepona",61,NULL,29,149,"48558.",NULL,NULL,271,"271 Estepona",0,"2017-06-05",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
57,"Ferrol",NULL,"Ferrol (Real, 78)","15402","ferrol",57,NULL,15,149,"C-15-003548.",NULL,NULL,143,"143 El Ferrol",0,"2014-02-06",NULL,"2017-12-31 00:00:00","2019-06-21 10:48:46",NULL
58,"Figueres",NULL,"Figueres (Pujada del Castell, 11)","17600","figueres",63,NULL,17,26,"E17624961.",NULL,NULL,254,"254 Figueras",0,"2016-11-02",NULL,"2017-12-31 00:00:00","2019-06-21 10:49:06",NULL
59,"Fuengirola",NULL,"Fuengirola (Condes de San Isidro, 15)","29640","fuengirola",65,NULL,29,149,"46765.",NULL,NULL,248,"248 Fuengirola Avenida Condes",0,"2016-07-01",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
60,"Fuenlabrada",NULL,"Fuenlabrada (Malaga, 1)","28945","fuenlabrada2",67,NULL,28,149,"CS15166",NULL,NULL,43,"43 Fuenlabrada 2",0,"2011-12-01",NULL,"2017-12-31 00:00:00","2019-06-21 10:50:01",NULL
61,"Fuenlabrada",NULL,"Fuenlabrada (Portugal, 44)","28943","fuenlabrada1",66,NULL,28,149,"CS11819.",NULL,NULL,51,"51 Fuenlabrada 1",0,"2011-10-01",NULL,"2017-12-31 00:00:00","2019-10-17 10:38:36",NULL
62,"Galdakao",NULL,"Galdakao (Juan Bautista Uriarte Kalea, 18)","48960","galdakao",69,NULL,48,149,"48 C.2.5.1. 11367.",NULL,NULL,274,"274 Galdakao",0,"2016-11-28",NULL,"2017-12-31 00:00:00","2019-10-17 10:01:01",NULL
63,"Gandía",NULL,"Gandia (Raco Pare Leandro Calvo, 1)","46701","gandia",70,NULL,46,149,"17851.",NULL,NULL,136,"136 Gandia",0,"2015-12-25",NULL,"2017-12-31 00:00:00","2019-06-21 10:50:51",NULL
64,"Gavà",NULL,"Gava (de Maria Casas, 78)","8850","gava",71,NULL,8,26,"E08614314.",NULL,NULL,203,"203 Barcelona Gavá",0,"2015-07-30",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
65,"Getafe",NULL,"Getafe (Madrid, 58)","28902","getafe1",72,NULL,28,149,"CS12695.",NULL,NULL,191,NULL,1,"2014-07-01","2018-01-01","2017-12-31 00:00:00","2019-10-17 10:38:46","2018-01-01 00:00:00"
66,"Getafe",NULL,"Getafe (Madrid, 73)","28902","getafe",73,NULL,28,149,"CS12695.",NULL,NULL,50,"50 Getafe 73",0,"2011-02-01",NULL,"2017-12-31 00:00:00","2019-06-21 10:51:35",NULL
67,"Getxo",NULL,"Getxo (Mayor, 23)","48930","getxo",74,NULL,48,149,"RPS 105/18 Responsable Asistencial Licenciado en Odontología.",NULL,NULL,29,"29 Getxo",1,"2014-04-25",NULL,"2017-12-31 00:00:00","2019-06-21 10:51:56",NULL
68,"Getxo",NULL,"Getxo (Mayor, 21)","48930","getxo",74,NULL,48,149,"RPS 105/18 Responsable Asistencial Licenciado en Odontología.",NULL,NULL,45,NULL,0,"2013-01-01","2018-01-01","2017-12-31 00:00:00","2019-07-25 15:43:49","2019-07-25 15:43:49"
69,"Gijón",NULL,"Gijon (Corrida, 59)","33206","gijon",75,NULL,33,149,"C.2.5.1./4132.",NULL,NULL,9,"9 Gijón",0,"2014-03-13",NULL,"2017-12-31 00:00:00","2019-10-17 10:09:46",NULL
70,"Girona",NULL,"Girona (de Joan Maragall, 35)","17002","girona",76,NULL,17,26,"E17565593.",NULL,NULL,117,"117 Girona",0,"2014-05-19",NULL,"2017-12-31 00:00:00","2019-06-21 10:52:27",NULL
71,"Granada",NULL,"Granada (Recogidas, 58)","18004","granadarecogidas",79,NULL,18,149,"47835.",NULL,NULL,266,"266 Granada 2 - Recogidas",0,"2017-02-06",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
72,"Granada",NULL,"Granada (Mesones, 17)","18001","granada",78,NULL,18,149,"41819.",NULL,NULL,12,"12 Granada",0,"2014-03-21",NULL,"2017-12-31 00:00:00","2019-06-21 10:52:44",NULL
73,"Granollers",NULL,"Granollers (Lluis Perpinya, 8)","8401","granollers",80,NULL,8,26,"E08617805.",NULL,NULL,209,"209 Granollers",0,"2016-01-28",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
74,"Guadalajara",NULL,"Guadalajara (Virgen del Amparo, 9)","19001","guadalajara",81,NULL,19,149,"1906840/1902949.",NULL,NULL,33,"33 Guadalajara",0,"2013-10-01",NULL,"2017-12-31 00:00:00","2019-06-21 10:53:37",NULL
75,"Huelva",NULL,"Huelva (Concepcion, 1)","21001","huelva",84,NULL,21,149,"47322.",NULL,NULL,247,"247 Huelva - Concepción",0,"2016-08-29",NULL,"2017-12-31 00:00:00","2019-06-21 10:54:39",NULL
76,"Huelva","CC Holea","Huelva (CC Holea, Ronda Exterior Zona Sur, s.n.)","21007","ccholea",83,NULL,21,149,"45963.",NULL,NULL,189,"189 Huelva Holea",0,"2015-06-03",NULL,"2017-12-31 00:00:00","2019-07-12 14:09:19",NULL
77,"Huesca",NULL,"Huesca (Coso Bajo, 3)","22001","huesca",85,NULL,22,149,"2220903.",NULL,NULL,178,"178 Huesca",0,"2015-05-18",NULL,"2017-12-31 00:00:00","2019-10-17 10:04:08",NULL
78,"Ibiza",NULL,"Ibiza (dIgnasi Wallis, 35)","7800","ibiza",86,NULL,7,149,"4551.",NULL,NULL,273,"273 Ibiza",0,"2016-11-28",NULL,"2017-12-31 00:00:00","2019-07-11 17:08:30",NULL
79,"Inca",NULL,"Inca (de Espana, 13)","7300","inca",87,NULL,7,149,"4428.",NULL,NULL,204,"204 Inca",0,"2016-02-15",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
80,"Irún",NULL,"Irun (de Colon, 38)","20302","irun",91,NULL,20,149,"20 C.2.5.1. 9622.",NULL,NULL,137,"137 Irún",0,"2014-07-28",NULL,"2017-12-31 00:00:00","2019-10-17 10:04:33",NULL
81,"Jaén",NULL,"Jaen (de la Madre Soledad Torres Acosta, 2)","23001","jaen",93,NULL,23,149,"41798.",NULL,NULL,120,"120 Jaén",0,"2014-06-24",NULL,"2017-12-31 00:00:00","2019-06-21 10:56:24",NULL
82,"Jerez","CC Área Sur","Jerez (CC Area Sur, Nacional IV, Km 639)","11408","ccareasur",95,NULL,11,149,"45853.",NULL,NULL,207,"207 Jerez C.C. Área Sur",0,"2015-10-13",NULL,"2017-12-31 00:00:00","2019-07-12 14:09:34",NULL
83,"Jerez",NULL,"Jerez (Lanceria, 16)","11402","jerez",94,NULL,11,149,"40991.",NULL,NULL,22,"22 Jerez",0,"2013-11-01",NULL,"2017-12-31 00:00:00","2019-06-21 10:56:51",NULL
84,"L'Hospitalet de Llobregat",NULL,"L'Hospitalet de Llobregat (de la Marina, 542-546)","8901","hospitalet",82,NULL,8,26,"E08581813.",NULL,NULL,25,"25 Hospitalet",0,"2013-11-01",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
85,"L'Hospitalet de Llobregat",NULL,"L'Hospitalet de Llobregat (Just Oliveras, 37-39)","8901","hospitalet",82,NULL,8,26,"E08618407.",NULL,NULL,25,"25 Hospitalet",1,"2017-06-19",NULL,"2017-12-31 00:00:00","2019-10-10 10:22:35",NULL
86,"La Línea de la Concepción",NULL,"La Linea de la Concepcion (Real, 45)","11300","lalinea",96,NULL,11,149,"46023.",NULL,NULL,219,"219 La Línea De La Concepción",0,"2015-11-27",NULL,"2017-12-31 00:00:00","2019-06-21 10:58:27",NULL
87,"Las Palmas","CC Las Arenas","Las Palmas (CC Las Arenas, local A-41b.  del Rincon)","35010","cclasarenas",42,NULL,35,149,"31063.",NULL,NULL,208,"208 C.C. Las Arenas Las Palmas",0,"2015-08-24",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
88,"Las Palmas","CC La Ballena","Las Palmas (CC La Ballena, General del Norte 112 , local 0-29)","35013","ballena",33,NULL,35,149,"31054.",NULL,NULL,185,"185 Las Palmas -  C.C. La Ballena",0,"2015-07-15",NULL,"2017-12-31 00:00:00","2019-07-12 14:09:54",NULL
89,"Las Palmas",NULL,"Las Palmas (Triana, 107)","35002","laspalmas",97,NULL,35,149,"29957.",NULL,NULL,144,"144 Las Palmas",0,"2014-11-24",NULL,"2017-12-31 00:00:00","2019-06-21 10:59:21",NULL
90,"Leganés",NULL,"Leganes (Jeromin, 2)","28911","leganes",98,NULL,28,149,"CS13074.",NULL,NULL,156,"156 Leganes",0,"2014-11-26",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
91,"León",NULL,"Leon (de Santo Domingo, 5)","24002","leon",99,NULL,24,149,"24-C251-0261.",NULL,NULL,31,"31 León",0,"2013-03-01",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
92,"Linares",NULL,"Linares (Corredera de San Marcos, 23)","23700","linares",100,NULL,23,149,"46014.",NULL,NULL,226,"226 Linares",0,"2015-11-23",NULL,"2017-12-31 00:00:00","2019-06-21 11:20:26",NULL
93,"Lleida",NULL,"Lleida (del Carme, 25)","25007","lerida",101,NULL,25,26,"E25618608.",NULL,NULL,210,"210 Lleida",0,"2015-12-18",NULL,"2017-12-31 00:00:00","2019-06-21 11:20:45",NULL
94,"Logroño",NULL,"Logrono (Jorge Vigon, 2)","26003","logrono",103,NULL,26,149,"2558.",NULL,NULL,40,"40 Logroño",0,"2013-08-01",NULL,"2017-12-31 00:00:00","2019-07-05 15:29:34",NULL
95,"Lorca",NULL,"Lorca (Juan Carlos I, 28)","30800","lorca",104,NULL,30,149,"40001811.",NULL,NULL,179,"179 Lorca",0,"2015-12-09",NULL,"2017-12-31 00:00:00","2019-10-17 10:06:29",NULL
96,"Lugo",NULL,"Lugo (San Marcos, 4-6)","27001","lugo",105,NULL,27,149,"C-27-001091.",NULL,NULL,214,"214 Lugo",0,"2017-10-02",NULL,"2017-12-31 00:00:00","2019-10-10 10:30:56",NULL
97,"Madrid",NULL,"Madrid (Alcala, 385)","28027","alcala385",4,NULL,28,149,"CS12331.",NULL,NULL,42,"42 Alcalá 385",0,"2010-12-01",NULL,"2017-12-31 00:00:00","2019-10-22 18:07:36",NULL
98,"Madrid",NULL,"Madrid (Alcala, 386)","28027","alcala386",5,NULL,28,149,"CS12095.",NULL,NULL,34,"34 Alcalá 386",0,"2013-09-01",NULL,"2017-12-31 00:00:00","2019-10-17 10:39:02",NULL
99,"Madrid","CC Plenilunio","Madrid (CC Plenilunio, Aracne s.n.)","28022","ccplenilunio",NULL,NULL,28,149,"CS13506.",NULL,NULL,201,NULL,0,"2015-06-01","2018-10-01","2017-12-31 00:00:00","2019-10-17 10:39:09","2019-07-26 12:59:46"
100,"Madrid",NULL,"Madrid (de la Albufera, 105)","28038","albufera",3,NULL,28,149,"CS12186.",NULL,NULL,16,"16 Albufera",0,"2012-09-01",NULL,"2017-12-31 00:00:00","2019-10-17 10:25:13",NULL
101,"Madrid","Barajas","Madrid (de Logrono, 112)","28042","barajas",19,NULL,28,149,"CS13462.",NULL,NULL,195,"195 Barajas",0,"2015-06-11",NULL,"2017-12-31 00:00:00","2019-10-17 10:39:17",NULL
102,"Madrid","Las Rosas","Madrid (de Niza, 57)","28022","lasrosas",87,NULL,28,149,"CS12956.",NULL,NULL,155,"155 San Blas",0,"2014-11-14",NULL,"2017-12-31 00:00:00","2019-10-17 10:05:11",NULL
103,"Madrid","Moratalaz","Madrid (Moratalaz, 127)","28030","moratalaz",139,NULL,28,149,"CS13508.",NULL,NULL,217,"217 Moratalaz",0,"2015-09-28",NULL,"2017-12-31 00:00:00","2019-10-17 10:08:13",NULL
104,"Madrid",NULL,"Madrid (Bravo Murillo, 121)","28020","bravomurillo",31,NULL,28,149,"CS12068.",NULL,NULL,17,"17 Bravo Murillo",0,"2013-04-01",NULL,"2017-12-31 00:00:00","2019-10-17 10:39:29",NULL
105,"Madrid","CC La Vaguada","Madrid (CC La Vaguada, Monforte de Lemos, 36)","28029","vaguada2",219,NULL,28,149,"CS13422.",NULL,NULL,175,"175 Vaguada 2",0,"2015-04-23",NULL,"2017-12-31 00:00:00","2019-07-12 14:10:41",NULL
106,"Madrid","Quevedo","Madrid (de Arapiles, 1)","28015","quevedo",159,NULL,28,149,"CS12896.",NULL,NULL,150,"150 Madrid Quevedo",0,"2014-09-17",NULL,"2017-12-31 00:00:00","2019-06-21 11:28:03",NULL
107,"Madrid","Carabanchel","Madrid - Carabanchel (de la Laguna, 42)","28025","carabanchel",37,NULL,28,149,"CS13615.",NULL,NULL,221,"221 Carabanchel",0,"2015-09-28",NULL,"2017-12-31 00:00:00","2019-10-17 10:39:43",NULL
108,"Madrid",NULL,"Madrid (Ginzo de Limia, 39)","28029","vaguada",218,NULL,28,149,"CS12070.",NULL,NULL,35,NULL,1,"2013-04-01","2018-01-01","2017-12-31 00:00:00","2019-10-17 10:39:36","2018-01-01 00:00:00"
109,"Madrid",NULL,"Madrid (Goya, 58)","28001","madridgoya",125,NULL,28,149,"CS14415.",NULL,NULL,257,"257 Madrid - Goya 58",0,"2017-02-06",NULL,"2017-12-31 00:00:00","2019-06-21 11:24:40",NULL
110,"Madrid",NULL,"Madrid (Gran Via, 46)","28013","madridgranvia",96,NULL,28,149,"CS14814.",NULL,NULL,262,NULL,0,"2017-11-02","2019-07-22","2017-12-31 00:00:00","2019-10-10 10:36:15","2019-07-25 15:44:49"
111,"Madrid",NULL,"Madrid (Lopez de Hoyos, 132)","28002","lopezdehoyos",126,NULL,28,149,"CS14276.",NULL,NULL,223,"223 Madrid - Lopez De Hoyos",0,"2016-09-26",NULL,"2017-12-31 00:00:00","2019-06-21 11:26:34",NULL
