id,clinic_id,stationary_id,"file","link","thumbnail","created_at","updated_at"
12,3,4,"Sobre Bolsa 324x229 Alcala dje Henares (Pl. dje Atilano Casadjo, 3).pdf","stationary/España/clinics/Alcala dje Henares (Pl. dje Atilano Casadjo, 3)/Sobre Bolsa 324x229 Alcala dje Henares (Pl. dje Atilano Casadjo, 3).pdf","/storage/Sobre Bolsa 324x229 Alcala dje Henares (Pl. dje Atilano Casadjo, 3).jpg","2018-09-09 11:55:49","2018-09-10 11:55:49"
13,4,1,"Hoja A4 Alcala dje Henares (Tinte, 13).pdf","stationary/España/clinics/Alcala dje Henares (Tinte, 13)/Hoja A4 Alcala dje Henares (Tinte, 13).pdf","/storage/Hoja A4 Alcala dje Henares (Tinte, 13).jpg","2018-09-10 11:55:49","2018-09-11 11:55:49"
14,4,2,"Recetario Alcala dje Henares (Tinte, 13).pdf","stationary/España/clinics/Alcala dje Henares (Tinte, 13)/Recetario Alcala dje Henares (Tinte, 13).pdf","/storage/Recetario Alcala dje Henares (Tinte, 13).jpg","2018-09-11 11:55:49","2018-09-12 11:55:49"
15,4,3,"Sobre Americano 225x115 Alcala dje Henares (Tinte, 13).pdf","stationary/España/clinics/Alcala dje Henares (Tinte, 13)/Sobre Americano 225x115 Alcala dje Henares (Tinte, 13).pdf","/storage/Sobre Americano 225x115 Alcala dje Henares (Tinte, 13).jpg","2018-09-12 11:55:49","2018-09-13 11:55:49"
16,4,4,"Sobre Bolsa 324x229 Alcala dje Henares (Tinte, 13).pdf","stationary/España/clinics/Alcala dje Henares (Tinte, 13)/Sobre Bolsa 324x229 Alcala dje Henares (Tinte, 13).pdf","/storage/Sobre Bolsa 324x229 Alcala dje Henares (Tinte, 13).jpg","2018-09-13 11:55:49","2018-09-14 11:55:49"
17,5,1,"Hoja A4 Alcantarilla (Mayor, 127 A).pdf","stationary/España/clinics/Alcantarilla (Mayor, 127 A)/Hoja A4 Alcantarilla (Mayor, 127 A).pdf","/storage/Hoja A4 Alcantarilla (Mayor, 127 A).jpg","2018-09-14 11:55:49","2018-09-15 11:55:49"
18,5,2,"Recetario Alcantarilla (Mayor, 127 A).pdf","stationary/España/clinics/Alcantarilla (Mayor, 127 A)/Recetario Alcantarilla (Mayor, 127 A).pdf","/storage/Recetario Alcantarilla (Mayor, 127 A).jpg","2018-09-15 11:55:49","2018-09-16 11:55:49"
19,5,3,"Sobre Americano 225x115 Alcantarilla (Mayor, 127 A).pdf","stationary/España/clinics/Alcantarilla (Mayor, 127 A)/Sobre Americano 225x115 Alcantarilla (Mayor, 127 A).pdf","/storage/Sobre Americano 225x115 Alcantarilla (Mayor, 127 A).jpg","2018-09-16 11:55:49","2018-09-17 11:55:49"
20,5,4,"Sobre Bolsa 324x229 Alcantarilla (Mayor, 127 A).pdf","stationary/España/clinics/Alcantarilla (Mayor, 127 A)/Sobre Bolsa 324x229 Alcantarilla (Mayor, 127 A).pdf","/storage/Sobre Bolsa 324x229 Alcantarilla (Mayor, 127 A).jpg","2018-09-17 11:55:49","2018-09-18 11:55:49"
21,6,1,"Hoja A4 Alcobendjas (Constitucion, 37).pdf","stationary/España/clinics/Alcobendjas (Constitucion, 37)/Hoja A4 Alcobendjas (Constitucion, 37).pdf","/storage/Hoja A4 Alcobendjas (Constitucion, 37).jpg","2018-09-18 11:55:49","2018-09-19 11:55:49"
22,6,2,"Recetario Alcobendjas (Constitucion, 37).pdf","stationary/España/clinics/Alcobendjas (Constitucion, 37)/Recetario Alcobendjas (Constitucion, 37).pdf","/storage/Recetario Alcobendjas (Constitucion, 37).jpg","2018-09-19 11:55:49","2018-09-20 11:55:49"
23,6,3,"Sobre Americano 225x115 Alcobendjas (Constitucion, 37).pdf","stationary/España/clinics/Alcobendjas (Constitucion, 37)/Sobre Americano 225x115 Alcobendjas (Constitucion, 37).pdf","/storage/Sobre Americano 225x115 Alcobendjas (Constitucion, 37).jpg","2018-09-20 11:55:49","2018-09-21 11:55:49"
24,6,4,"Sobre Bolsa 324x229 Alcobendjas (Constitucion, 37).pdf","stationary/España/clinics/Alcobendjas (Constitucion, 37)/Sobre Bolsa 324x229 Alcobendjas (Constitucion, 37).pdf","/storage/Sobre Bolsa 324x229 Alcobendjas (Constitucion, 37).jpg","2018-09-21 11:55:49","2018-09-22 11:55:49"
25,7,1,"Hoja A4 Alcobendjas (Pablo Picasso, 76).pdf","stationary/España/clinics/Alcobendjas (Pablo Picasso, 76)/Hoja A4 Alcobendjas (Pablo Picasso, 76).pdf","/storage/Hoja A4 Alcobendjas (Pablo Picasso, 76).jpg","2018-09-22 11:55:49","2018-09-23 11:55:49"
26,7,2,"Recetario Alcobendjas (Pablo Picasso, 76).pdf","stationary/España/clinics/Alcobendjas (Pablo Picasso, 76)/Recetario Alcobendjas (Pablo Picasso, 76).pdf","/storage/Recetario Alcobendjas (Pablo Picasso, 76).jpg","2018-09-23 11:55:49","2018-09-24 11:55:49"
27,7,3,"Sobre Americano 225x115 Alcobendjas (Pablo Picasso, 76).pdf","stationary/España/clinics/Alcobendjas (Pablo Picasso, 76)/Sobre Americano 225x115 Alcobendjas (Pablo Picasso, 76).pdf","/storage/Sobre Americano 225x115 Alcobendjas (Pablo Picasso, 76).jpg","2018-09-24 11:55:49","2018-09-25 11:55:49"
28,7,4,"Sobre Bolsa 324x229 Alcobendjas (Pablo Picasso, 76).pdf","stationary/España/clinics/Alcobendjas (Pablo Picasso, 76)/Sobre Bolsa 324x229 Alcobendjas (Pablo Picasso, 76).pdf","/storage/Sobre Bolsa 324x229 Alcobendjas (Pablo Picasso, 76).jpg","2018-09-25 11:55:49","2018-09-26 11:55:49"
29,8,1,"Hoja A4 Alcoi (Av. L'Alamedja, 13).pdf","stationary/España/clinics/Alcoi (Av. L'Alamedja, 13)/Hoja A4 Alcoi (Av. L'Alamedja, 13).pdf","/storage/Hoja A4 Alcoi (Av. L'Alamedja, 13).jpg","2018-09-26 11:55:49","2018-09-27 11:55:49"
30,8,2,"Recetario Alcoi (Av. L'Alamedja, 13).pdf","stationary/España/clinics/Alcoi (Av. L'Alamedja, 13)/Recetario Alcoi (Av. L'Alamedja, 13).pdf","/storage/Recetario Alcoi (Av. L'Alamedja, 13).jpg","2018-09-27 11:55:49","2018-09-28 11:55:49"
31,8,3,"Sobre Americano 225x115 Alcoi (Av. L'Alamedja, 13).pdf","stationary/España/clinics/Alcoi (Av. L'Alamedja, 13)/Sobre Americano 225x115 Alcoi (Av. L'Alamedja, 13).pdf","/storage/Sobre Americano 225x115 Alcoi (Av. L'Alamedja, 13).jpg","2018-09-28 11:55:49","2018-09-29 11:55:49"
32,8,4,"Sobre Bolsa 324x229 Alcoi (Av. L'Alamedja, 13).pdf","stationary/España/clinics/Alcoi (Av. L'Alamedja, 13)/Sobre Bolsa 324x229 Alcoi (Av. L'Alamedja, 13).pdf","/storage/Sobre Bolsa 324x229 Alcoi (Av. L'Alamedja, 13).jpg","2018-09-29 11:55:49","2018-09-30 11:55:49"
33,9,1,"Hoja A4 Alcorcon (Mayor, 10).pdf","stationary/España/clinics/Alcorcon (Mayor, 10)/Hoja A4 Alcorcon (Mayor, 10).pdf","/storage/Hoja A4 Alcorcon (Mayor, 10).jpg","2018-09-30 11:55:49","2018-10-01 11:55:49"
34,9,2,"Recetario Alcorcon (Mayor, 10).pdf","stationary/España/clinics/Alcorcon (Mayor, 10)/Recetario Alcorcon (Mayor, 10).pdf","/storage/Recetario Alcorcon (Mayor, 10).jpg","2018-10-01 11:55:49","2018-10-02 11:55:49"
35,9,3,"Sobre Americano 225x115 Alcorcon (Mayor, 10).pdf","stationary/España/clinics/Alcorcon (Mayor, 10)/Sobre Americano 225x115 Alcorcon (Mayor, 10).pdf","/storage/Sobre Americano 225x115 Alcorcon (Mayor, 10).jpg","2018-10-02 11:55:49","2018-10-03 11:55:49"
36,9,4,"Sobre Bolsa 324x229 Alcorcon (Mayor, 10).pdf","stationary/España/clinics/Alcorcon (Mayor, 10)/Sobre Bolsa 324x229 Alcorcon (Mayor, 10).pdf","/storage/Sobre Bolsa 324x229 Alcorcon (Mayor, 10).jpg","2018-10-03 11:55:49","2018-10-04 11:55:49"
37,10,1,"Hoja A4 Alcorcon CC TresAguas (Av. America, 7-9).pdf","stationary/España/clinics/Alcorcon CC TresAguas (Av. America, 7-9)/Hoja A4 Alcorcon CC TresAguas (Av. America, 7-9).pdf","/storage/Hoja A4 Alcorcon CC TresAguas (Av. America, 7-9).jpg","2018-10-04 11:55:49","2018-10-05 11:55:49"
38,10,2,"Recetario Alcorcon CC TresAguas (Av. America, 7-9).pdf","stationary/España/clinics/Alcorcon CC TresAguas (Av. America, 7-9)/Recetario Alcorcon CC TresAguas (Av. America, 7-9).pdf","/storage/Recetario Alcorcon CC TresAguas (Av. America, 7-9).jpg","2018-10-05 11:55:49","2018-10-06 11:55:49"
39,10,3,"Sobre Americano 225x115 Alcorcon CC TresAguas (Av. America, 7-9).pdf","stationary/España/clinics/Alcorcon CC TresAguas (Av. America, 7-9)/Sobre Americano 225x115 Alcorcon CC TresAguas (Av. America, 7-9).pdf","/storage/Sobre Americano 225x115 Alcorcon CC TresAguas (Av. America, 7-9).jpg","2018-10-06 11:55:49","2018-10-07 11:55:49"
40,10,4,"Sobre Bolsa 324x229 Alcorcon CC TresAguas (Av. America, 7-9).pdf","stationary/España/clinics/Alcorcon CC TresAguas (Av. America, 7-9)/Sobre Bolsa 324x229 Alcorcon CC TresAguas (Av. America, 7-9).pdf","/storage/Sobre Bolsa 324x229 Alcorcon CC TresAguas (Av. America, 7-9).jpg","2018-10-07 11:55:49","2018-10-08 11:55:49"
41,11,1,"Hoja A4 Algeciras (Regino Martinez, 2).pdf","stationary/España/clinics/Algeciras (Regino Martinez, 2)/Hoja A4 Algeciras (Regino Martinez, 2).pdf","/storage/Hoja A4 Algeciras (Regino Martinez, 2).jpg","2018-10-08 11:55:49","2018-10-09 11:55:49"
42,11,2,"Recetario Algeciras (Regino Martinez, 2).pdf","stationary/España/clinics/Algeciras (Regino Martinez, 2)/Recetario Algeciras (Regino Martinez, 2).pdf","/storage/Recetario Algeciras (Regino Martinez, 2).jpg","2018-10-09 11:55:49","2018-10-10 11:55:49"
43,11,3,"Sobre Americano 225x115 Algeciras (Regino Martinez, 2).pdf","stationary/España/clinics/Algeciras (Regino Martinez, 2)/Sobre Americano 225x115 Algeciras (Regino Martinez, 2).pdf","/storage/Sobre Americano 225x115 Algeciras (Regino Martinez, 2).jpg","2018-10-10 11:55:49","2018-10-11 11:55:49"
44,11,4,"Sobre Bolsa 324x229 Algeciras (Regino Martinez, 2).pdf","stationary/España/clinics/Algeciras (Regino Martinez, 2)/Sobre Bolsa 324x229 Algeciras (Regino Martinez, 2).pdf","/storage/Sobre Bolsa 324x229 Algeciras (Regino Martinez, 2).jpg","2018-10-11 11:55:49","2018-10-12 11:55:49"
45,12,1,"Hoja A4 Alicante (Av. Maisonnave, 27).pdf","stationary/España/clinics/Alicante (Av. Maisonnave, 27)/Hoja A4 Alicante (Av. Maisonnave, 27).pdf","/storage/Hoja A4 Alicante (Av. Maisonnave, 27).jpg","2018-10-12 11:55:49","2018-10-13 11:55:49"
46,12,2,"Recetario Alicante (Av. Maisonnave, 27).pdf","stationary/España/clinics/Alicante (Av. Maisonnave, 27)/Recetario Alicante (Av. Maisonnave, 27).pdf","/storage/Recetario Alicante (Av. Maisonnave, 27).jpg","2018-10-13 11:55:49","2018-10-14 11:55:49"
47,12,3,"Sobre Americano 225x115 Alicante (Av. Maisonnave, 27).pdf","stationary/España/clinics/Alicante (Av. Maisonnave, 27)/Sobre Americano 225x115 Alicante (Av. Maisonnave, 27).pdf","/storage/Sobre Americano 225x115 Alicante (Av. Maisonnave, 27).jpg","2018-10-14 11:55:49","2018-10-15 11:55:49"
48,12,4,"Sobre Bolsa 324x229 Alicante (Av. Maisonnave, 27).pdf","stationary/España/clinics/Alicante (Av. Maisonnave, 27)/Sobre Bolsa 324x229 Alicante (Av. Maisonnave, 27).pdf","/storage/Sobre Bolsa 324x229 Alicante (Av. Maisonnave, 27).jpg","2018-10-15 11:55:49","2018-10-16 11:55:49"
49,13,1,"Hoja A4 Almeria (P.º dje Almeria, 41 esq.  Mendjez Nunez).pdf","stationary/España/clinics/Almeria (P.º dje Almeria, 41 esq.  Mendjez Nunez)/Hoja A4 Almeria (P.º dje Almeria, 41 esq.  Mendjez Nunez).pdf","/storage/Hoja A4 Almeria (P.º dje Almeria, 41 esq.  Mendjez Nunez).jpg","2018-10-16 11:55:49","2018-10-17 11:55:49"
50,13,2,"Recetario Almeria (P.º dje Almeria, 41 esq.  Mendjez Nunez).pdf","stationary/España/clinics/Almeria (P.º dje Almeria, 41 esq.  Mendjez Nunez)/Recetario Almeria (P.º dje Almeria, 41 esq.  Mendjez Nunez).pdf","/storage/Recetario Almeria (P.º dje Almeria, 41 esq.  Mendjez Nunez).jpg","2018-10-17 11:55:49","2018-10-18 11:55:49"
51,13,3,"Sobre Americano 225x115 Almeria (P.º dje Almeria, 41 esq.  Mendjez Nunez).pdf","stationary/España/clinics/Almeria (P.º dje Almeria, 41 esq.  Mendjez Nunez)/Sobre Americano 225x115 Almeria (P.º dje Almeria, 41 esq.  Mendjez Nunez).pdf","/storage/Sobre Americano 225x115 Almeria (P.º dje Almeria, 41 esq.  Mendjez Nunez).jpg","2018-10-18 11:55:49","2018-10-19 11:55:49"
52,13,4,"Sobre Bolsa 324x229 Almeria (P.º dje Almeria, 41 esq.  Mendjez Nunez).pdf","stationary/España/clinics/Almeria (P.º dje Almeria, 41 esq.  Mendjez Nunez)/Sobre Bolsa 324x229 Almeria (P.º dje Almeria, 41 esq.  Mendjez Nunez).pdf","/storage/Sobre Bolsa 324x229 Almeria (P.º dje Almeria, 41 esq.  Mendjez Nunez).jpg","2018-10-19 11:55:49","2018-10-20 11:55:49"
53,14,1,"Hoja A4 Andjujar (Ollerias, 23).pdf","stationary/España/clinics/Andjujar (Ollerias, 23)/Hoja A4 Andjujar (Ollerias, 23).pdf","/storage/Hoja A4 Andjujar (Ollerias, 23).jpg","2018-10-20 11:55:49","2018-10-21 11:55:49"
54,14,2,"Recetario Andjujar (Ollerias, 23).pdf","stationary/España/clinics/Andjujar (Ollerias, 23)/Recetario Andjujar (Ollerias, 23).pdf","/storage/Recetario Andjujar (Ollerias, 23).jpg","2018-10-21 11:55:49","2018-10-22 11:55:49"
55,14,3,"Sobre Americano 225x115 Andjujar (Ollerias, 23).pdf","stationary/España/clinics/Andjujar (Ollerias, 23)/Sobre Americano 225x115 Andjujar (Ollerias, 23).pdf","/storage/Sobre Americano 225x115 Andjujar (Ollerias, 23).jpg","2018-10-22 11:55:49","2018-10-23 11:55:49"
56,14,4,"Sobre Bolsa 324x229 Andjujar (Ollerias, 23).pdf","stationary/España/clinics/Andjujar (Ollerias, 23)/Sobre Bolsa 324x229 Andjujar (Ollerias, 23).pdf","/storage/Sobre Bolsa 324x229 Andjujar (Ollerias, 23).jpg","2018-10-23 11:55:49","2018-10-24 11:55:49"
57,15,1,"Hoja A4 Antequera (Duranes, 23).pdf","stationary/España/clinics/Antequera (Duranes, 23)/Hoja A4 Antequera (Duranes, 23).pdf","/storage/Hoja A4 Antequera (Duranes, 23).jpg","2018-10-24 11:55:49","2018-10-25 11:55:49"
58,15,2,"Recetario Antequera (Duranes, 23).pdf","stationary/España/clinics/Antequera (Duranes, 23)/Recetario Antequera (Duranes, 23).pdf","/storage/Recetario Antequera (Duranes, 23).jpg","2018-10-25 11:55:49","2018-10-26 11:55:49"
59,15,3,"Sobre Americano 225x115 Antequera (Duranes, 23).pdf","stationary/España/clinics/Antequera (Duranes, 23)/Sobre Americano 225x115 Antequera (Duranes, 23).pdf","/storage/Sobre Americano 225x115 Antequera (Duranes, 23).jpg","2018-10-26 11:55:49","2018-10-27 11:55:49"
60,15,4,"Sobre Bolsa 324x229 Antequera (Duranes, 23).pdf","stationary/España/clinics/Antequera (Duranes, 23)/Sobre Bolsa 324x229 Antequera (Duranes, 23).pdf","/storage/Sobre Bolsa 324x229 Antequera (Duranes, 23).jpg","2018-10-27 11:55:49","2018-10-28 11:55:49"
61,16,1,"Hoja A4 Aranjuez (dje San Antonio, 59).pdf","stationary/España/clinics/Aranjuez (dje San Antonio, 59)/Hoja A4 Aranjuez (dje San Antonio, 59).pdf","/storage/Hoja A4 Aranjuez (dje San Antonio, 59).jpg","2018-10-28 11:55:49","2018-10-29 11:55:49"
62,16,2,"Recetario Aranjuez (dje San Antonio, 59).pdf","stationary/España/clinics/Aranjuez (dje San Antonio, 59)/Recetario Aranjuez (dje San Antonio, 59).pdf","/storage/Recetario Aranjuez (dje San Antonio, 59).jpg","2018-10-29 11:55:49","2018-10-30 11:55:49"
63,16,3,"Sobre Americano 225x115 Aranjuez (dje San Antonio, 59).pdf","stationary/España/clinics/Aranjuez (dje San Antonio, 59)/Sobre Americano 225x115 Aranjuez (dje San Antonio, 59).pdf","/storage/Sobre Americano 225x115 Aranjuez (dje San Antonio, 59).jpg","2018-10-30 11:55:49","2018-10-31 11:55:49"
64,16,4,"Sobre Bolsa 324x229 Aranjuez (dje San Antonio, 59).pdf","stationary/España/clinics/Aranjuez (dje San Antonio, 59)/Sobre Bolsa 324x229 Aranjuez (dje San Antonio, 59).pdf","/storage/Sobre Bolsa 324x229 Aranjuez (dje San Antonio, 59).jpg","2018-10-31 11:55:49","2018-11-01 11:55:49"
65,17,1,"Hoja A4 Badjajoz (Manuel Saavedjra Palmeiro, 12).pdf","stationary/España/clinics/Badjajoz (Manuel Saavedjra Palmeiro, 12)/Hoja A4 Badjajoz (Manuel Saavedjra Palmeiro, 12).pdf","/storage/Hoja A4 Badjajoz (Manuel Saavedjra Palmeiro, 12).jpg","2018-11-01 11:55:49","2018-11-02 11:55:49"
66,17,2,"Recetario Badjajoz (Manuel Saavedjra Palmeiro, 12).pdf","stationary/España/clinics/Badjajoz (Manuel Saavedjra Palmeiro, 12)/Recetario Badjajoz (Manuel Saavedjra Palmeiro, 12).pdf","/storage/Recetario Badjajoz (Manuel Saavedjra Palmeiro, 12).jpg","2018-11-02 11:55:49","2018-11-03 11:55:49"
67,17,3,"Sobre Americano 225x115 Badjajoz (Manuel Saavedjra Palmeiro, 12).pdf","stationary/España/clinics/Badjajoz (Manuel Saavedjra Palmeiro, 12)/Sobre Americano 225x115 Badjajoz (Manuel Saavedjra Palmeiro, 12).pdf","/storage/Sobre Americano 225x115 Badjajoz (Manuel Saavedjra Palmeiro, 12).jpg","2018-11-03 11:55:49","2018-11-04 11:55:49"
68,17,4,"Sobre Bolsa 324x229 Badjajoz (Manuel Saavedjra Palmeiro, 12).pdf","stationary/España/clinics/Badjajoz (Manuel Saavedjra Palmeiro, 12)/Sobre Bolsa 324x229 Badjajoz (Manuel Saavedjra Palmeiro, 12).pdf","/storage/Sobre Bolsa 324x229 Badjajoz (Manuel Saavedjra Palmeiro, 12).jpg","2018-11-04 11:55:49","2018-11-05 11:55:49"
69,18,1,"Hoja A4 Badjalona (djel Mar, 67).pdf","stationary/España/clinics/Badjalona (djel Mar, 67)/Hoja A4 Badjalona (djel Mar, 67).pdf","/storage/Hoja A4 Badjalona (djel Mar, 67).jpg","2018-11-05 11:55:49","2018-11-06 11:55:49"
70,18,2,"Recetario Badjalona (djel Mar, 67).pdf","stationary/España/clinics/Badjalona (djel Mar, 67)/Recetario Badjalona (djel Mar, 67).pdf","/storage/Recetario Badjalona (djel Mar, 67).jpg","2018-11-06 11:55:49","2018-11-07 11:55:49"
71,18,3,"Sobre Americano 225x115 Badjalona (djel Mar, 67).pdf","stationary/España/clinics/Badjalona (djel Mar, 67)/Sobre Americano 225x115 Badjalona (djel Mar, 67).pdf","/storage/Sobre Americano 225x115 Badjalona (djel Mar, 67).jpg","2018-11-07 11:55:49","2018-11-08 11:55:49"
72,18,4,"Sobre Bolsa 324x229 Badjalona (djel Mar, 67).pdf","stationary/España/clinics/Badjalona (djel Mar, 67)/Sobre Bolsa 324x229 Badjalona (djel Mar, 67).pdf","/storage/Sobre Bolsa 324x229 Badjalona (djel Mar, 67).jpg","2018-11-08 11:55:49","2018-11-09 11:55:49"
73,19,1,"Hoja A4 Badjalona (djel Mar, 73).pdf","stationary/España/clinics/Badjalona (djel Mar, 73)/Hoja A4 Badjalona (djel Mar, 73).pdf","/storage/Hoja A4 Badjalona (djel Mar, 73).jpg","2018-11-09 11:55:49","2018-11-10 11:55:49"
74,19,2,"Recetario Badjalona (djel Mar, 73).pdf","stationary/España/clinics/Badjalona (djel Mar, 73)/Recetario Badjalona (djel Mar, 73).pdf","/storage/Recetario Badjalona (djel Mar, 73).jpg","2018-11-10 11:55:49","2018-11-11 11:55:49"
75,19,3,"Sobre Americano 225x115 Badjalona (djel Mar, 73).pdf","stationary/España/clinics/Badjalona (djel Mar, 73)/Sobre Americano 225x115 Badjalona (djel Mar, 73).pdf","/storage/Sobre Americano 225x115 Badjalona (djel Mar, 73).jpg","2018-11-11 11:55:49","2018-11-12 11:55:49"
76,19,4,"Sobre Bolsa 324x229 Badjalona (djel Mar, 73).pdf","stationary/España/clinics/Badjalona (djel Mar, 73)/Sobre Bolsa 324x229 Badjalona (djel Mar, 73).pdf","/storage/Sobre Bolsa 324x229 Badjalona (djel Mar, 73).jpg","2018-11-12 11:55:49","2018-11-13 11:55:49"
77,20,1,"Hoja A4 Barcelona (Balmes, 284).pdf","stationary/España/clinics/Barcelona (Balmes, 284)/Hoja A4 Barcelona (Balmes, 284).pdf","/storage/Hoja A4 Barcelona (Balmes, 284).jpg","2018-11-13 11:55:49","2018-11-14 11:55:49"
78,20,2,"Recetario Barcelona (Balmes, 284).pdf","stationary/España/clinics/Barcelona (Balmes, 284)/Recetario Barcelona (Balmes, 284).pdf","/storage/Recetario Barcelona (Balmes, 284).jpg","2018-11-14 11:55:49","2018-11-15 11:55:49"
79,20,3,"Sobre Americano 225x115 Barcelona (Balmes, 284).pdf","stationary/España/clinics/Barcelona (Balmes, 284)/Sobre Americano 225x115 Barcelona (Balmes, 284).pdf","/storage/Sobre Americano 225x115 Barcelona (Balmes, 284).jpg","2018-11-15 11:55:49","2018-11-16 11:55:49"
80,20,4,"Sobre Bolsa 324x229 Barcelona (Balmes, 284).pdf","stationary/España/clinics/Barcelona (Balmes, 284)/Sobre Bolsa 324x229 Barcelona (Balmes, 284).pdf","/storage/Sobre Bolsa 324x229 Barcelona (Balmes, 284).jpg","2018-11-16 11:55:49","2018-11-17 11:55:49"
81,21,1,"Hoja A4 Barcelona (djel Llobregos, 161).pdf","stationary/España/clinics/Barcelona (djel Llobregos, 161)/Hoja A4 Barcelona (djel Llobregos, 161).pdf","/storage/Hoja A4 Barcelona (djel Llobregos, 161).jpg","2018-11-17 11:55:49","2018-11-18 11:55:49"
82,21,2,"Recetario Barcelona (djel Llobregos, 161).pdf","stationary/España/clinics/Barcelona (djel Llobregos, 161)/Recetario Barcelona (djel Llobregos, 161).pdf","/storage/Recetario Barcelona (djel Llobregos, 161).jpg","2018-11-18 11:55:49","2018-11-19 11:55:49"
83,21,3,"Sobre Americano 225x115 Barcelona (djel Llobregos, 161).pdf","stationary/España/clinics/Barcelona (djel Llobregos, 161)/Sobre Americano 225x115 Barcelona (djel Llobregos, 161).pdf","/storage/Sobre Americano 225x115 Barcelona (djel Llobregos, 161).jpg","2018-11-19 11:55:49","2018-11-20 11:55:49"
84,21,4,"Sobre Bolsa 324x229 Barcelona (djel Llobregos, 161).pdf","stationary/España/clinics/Barcelona (djel Llobregos, 161)/Sobre Bolsa 324x229 Barcelona (djel Llobregos, 161).pdf","/storage/Sobre Bolsa 324x229 Barcelona (djel Llobregos, 161).jpg","2018-11-20 11:55:49","2018-11-21 11:55:49"
