id,"code","description",clinic_id,county_id,state_id,country_id,campaign_id,sanitizable_id,"sanitizable_type","created_at","updated_at"
215,"CPS-2833C/39-18-NA",,141,,,,11,3,"App\PosterModel","2019-06-18 16:13:47","2019-06-18 16:13:47"
216,"CPS-2833C/39-18-NA",,142,,,,11,3,"App\PosterModel","2019-06-18 16:14:05","2019-06-18 16:14:05"
217,"CPS-2831C/39-18-NA",,186,,,,11,3,"App\PosterModel","2019-06-18 16:14:20","2019-06-18 16:14:20"
218,"CPS-2833C/38-18-NA",,141,,,,11,1,"App\PosterModel","2019-06-18 16:14:36","2019-06-18 16:14:36"
219,"CPS-2833C/38-18-NA",,142,,,,11,1,"App\PosterModel","2019-06-18 16:14:53","2019-06-18 16:14:53"
220,"CPS-2831C/38-18-NA",,186,,,,11,1,"App\PosterModel","2019-06-18 16:15:04","2019-06-18 16:15:04"
221,"CPS-2833C/36-18-NA",,141,,,,11,2,"App\PosterModel","2019-06-18 16:15:19","2019-06-18 16:15:19"
222,"CPS-2833C/36-18-NA",,142,,,,11,2,"App\PosterModel","2019-06-18 16:15:39","2019-06-18 16:15:39"
223,"CPS-2831C/36-18-NA",,186,,,,11,2,"App\PosterModel","2019-06-18 16:15:55","2019-06-18 16:15:55"
224,"RPS 199/18 Responsable Asistencial Licenciado en Odontología",,,,16,,11,4,"App\PosterModel","2019-06-18 16:16:17","2019-06-18 16:16:17"
225,"RPS 200/18 Responsable Asistencial Licenciado en Odontología",,,,16,,11,3,"App\PosterModel","2019-06-18 16:16:33","2019-06-18 16:16:33"
226,"RPS 201/18  Responsable Asistencial Licenciado en Odontología",,,,16,,11,3,"App\PosterModel","2019-06-18 16:16:46","2019-06-18 16:16:46"
227,"RPS 197/18 Responsable Asistencial Licenciado en Odontología",,,,16,,11,2,"App\PosterModel","2019-06-18 16:17:08","2019-06-18 16:17:08"
228,"C.2.5.1/4132/4",,69,,,,11,2,"App\PosterModel","2019-06-18 16:18:27","2019-06-18 16:18:27"
229,"C.2.5.1/4132/4",,69,,,,11,1,"App\PosterModel","2019-06-18 16:18:29","2019-06-18 16:18:29"
230,"C.2.5.1/4132/4",,69,,,,11,3,"App\PosterModel","2019-06-18 16:18:30","2019-06-18 16:18:30"
231,"C.2.5.1/4132/4",,69,,,,11,4,"App\PosterModel","2019-06-18 16:18:32","2019-06-18 16:18:32"
232,"C.2.5.1/4132/4",,69,,,,11,5,"App\PosterModel","2019-06-18 16:18:33","2019-06-18 16:18:33"
233,"C.2.5.1/4195/2",,137,,,,11,2,"App\PosterModel","2019-06-18 16:18:46","2019-06-18 16:18:46"
234,"C.2.5.1/4195/2",,137,,,,11,1,"App\PosterModel","2019-06-18 16:18:47","2019-06-18 16:18:47"
235,"C.2.5.1/4195/2",,137,,,,11,3,"App\PosterModel","2019-06-18 16:18:48","2019-06-18 16:18:48"
236,"C.2.5.1/4195/2",,137,,,,11,4,"App\PosterModel","2019-06-18 16:18:49","2019-06-18 16:18:49"
237,"C.2.5.1/4195/2",,137,,,,11,5,"App\PosterModel","2019-06-18 16:18:51","2019-06-18 16:18:51"
238,"Nº RAPS 50/348/18.",,,,2,,11,2,"App\PosterModel","2019-06-18 16:19:04","2019-06-18 16:19:04"
239,"Nº RAPS 50/348/18.",,,,2,,11,1,"App\PosterModel","2019-06-18 16:19:05","2019-06-18 16:19:05"
240,"Nº RAPS 50/348/18.",,,,2,,11,3,"App\PosterModel","2019-06-18 16:19:06","2019-06-18 16:19:06"
241,"Nº RAPS 50/348/18.",,,,2,,11,4,"App\PosterModel","2019-06-18 16:19:08","2019-06-18 16:19:08"
242,"Nº RAPS 50/348/18.",,,,2,,11,5,"App\PosterModel","2019-06-18 16:19:17","2019-06-18 16:19:17"
243,"C.2.5.1/4132/5",,69,,,,12,1,"App\PosterModel","2019-06-19 09:46:06","2019-06-19 09:46:06"
244,"C.2.5.1/4132/5",,69,,,,12,2,"App\PosterModel","2019-06-19 09:46:07","2019-06-19 09:46:07"
245,"C.2.5.1/4132/5",,69,,,,12,3,"App\PosterModel","2019-06-19 09:46:08","2019-06-19 09:46:08"
246,"C.2.5.1/4132/5",,69,,,,12,4,"App\PosterModel","2019-06-19 09:46:09","2019-06-19 09:46:09"
247,"C.2.5.1/4132/5",,69,,,,12,5,"App\PosterModel","2019-06-19 09:46:10","2019-06-19 09:46:10"
248,"C.2.5.1/4195/4",,137,,,,12,1,"App\PosterModel","2019-06-19 09:46:24","2019-06-19 09:46:24"
249,"C.2.5.1/4195/4",,137,,,,12,2,"App\PosterModel","2019-06-19 09:46:25","2019-06-19 09:46:25"
250,"C.2.5.1/4195/4",,137,,,,12,3,"App\PosterModel","2019-06-19 09:46:26","2019-06-19 09:46:26"
251,"C.2.5.1/4195/4",,137,,,,12,4,"App\PosterModel","2019-06-19 09:46:31","2019-06-19 09:46:31"
252,"C.2.5.1/4195/4",,137,,,,12,5,"App\PosterModel","2019-06-19 09:46:33","2019-06-19 09:46:33"
253,"4000684/RMu 30001384",,5,,,,12,3,"App\PosterModel","2019-06-19 09:47:16","2019-06-19 09:47:16"
254,"RPS 304/18 Responsable Asistencial Licenciado en Odontología",,,,16,,12,3,"App\PosterModel","2019-06-19 09:48:07","2019-06-19 09:48:07"
255,"4000678/RMu 30001223",,37,,,,12,3,"App\PosterModel","2019-06-19 09:48:24","2019-06-19 09:48:24"
256,"4000681/RMu 18/00-2491",,95,,,,12,3,"App\PosterModel","2019-06-19 09:48:40","2019-06-19 09:48:40"
257,"4000675/RMu 30001248",,129,,,,12,3,"App\PosterModel","2019-06-19 09:48:55","2019-06-19 09:48:55"
258,"4000686/RMu 30001231",,134,,,,12,3,"App\PosterModel","2019-06-19 09:49:08","2019-06-19 09:49:08"
259,"CPS2833C/41-19-NA",,141,,,,12,3,"App\PosterModel","2019-06-19 09:49:30","2019-06-19 09:49:30"
260,"CPS2833C/41-19-NA",,142,,,,12,3,"App\PosterModel","2019-06-19 09:49:46","2019-06-19 09:49:46"
261,"CPS2831C/41-19-NA",,186,,,,12,3,"App\PosterModel","2019-06-19 09:49:57","2019-06-19 09:49:57"
262,"RAPS 50/415/19",,77,,,,12,1,"App\PosterModel","2019-06-19 09:50:42","2019-06-19 09:50:42"
263,"RAPS 50/415/19",,77,,,,12,2,"App\PosterModel","2019-06-19 09:50:43","2019-06-19 09:50:43"
264,"RAPS 50/415/19",,77,,,,12,3,"App\PosterModel","2019-06-19 09:50:44","2019-06-19 09:50:44"
265,"RAPS 50/415/19",,77,,,,12,4,"App\PosterModel","2019-06-19 09:50:45","2019-06-19 09:50:45"
266,"RAPS 50/415/19",,77,,,,12,5,"App\PosterModel","2019-06-19 09:50:47","2019-06-19 09:50:47"
267,"RAPS 50/415/20",,178,,,,12,1,"App\PosterModel","2019-06-19 09:51:04","2019-06-19 09:51:04"
268,"RAPS 50/415/20",,178,,,,12,2,"App\PosterModel","2019-06-19 09:51:05","2019-06-19 09:51:05"
269,"RAPS 50/415/20",,178,,,,12,3,"App\PosterModel","2019-06-19 09:51:06","2019-06-19 09:51:06"
270,"RAPS 50/415/20",,178,,,,12,4,"App\PosterModel","2019-06-19 09:51:07","2019-06-19 09:51:07"
271,"RAPS 50/415/20",,178,,,,12,5,"App\PosterModel","2019-06-19 09:51:09","2019-06-19 09:51:09"
272,"RAPS 50/415/21",,207,,,,12,1,"App\PosterModel","2019-06-19 09:51:32","2019-06-19 09:51:32"
273,"RAPS 50/415/21",,207,,,,12,2,"App\PosterModel","2019-06-19 09:51:33","2019-06-19 09:51:33"
274,"RAPS 50/415/21",,207,,,,12,3,"App\PosterModel","2019-06-19 09:51:35","2019-06-19 09:51:35"
275,"RAPS 50/415/21",,207,,,,12,4,"App\PosterModel","2019-06-19 09:51:36","2019-06-19 09:51:36"
276,"RAPS 50/415/21",,207,,,,12,5,"App\PosterModel","2019-06-19 09:51:38","2019-06-19 09:51:38"
277,"RAPS 50/415/22",,205,,,,12,1,"App\PosterModel","2019-06-19 09:51:52","2019-06-19 09:51:52"
278,"RAPS 50/415/22",,205,,,,12,2,"App\PosterModel","2019-06-19 09:51:54","2019-06-19 09:51:54"
279,"RAPS 50/415/22",,205,,,,12,3,"App\PosterModel","2019-06-19 09:51:55","2019-06-19 09:51:55"
280,"RAPS 50/415/22",,205,,,,12,4,"App\PosterModel","2019-06-19 09:51:56","2019-06-19 09:51:56"
281,"RAPS 50/415/22",,205,,,,12,5,"App\PosterModel","2019-06-19 09:51:57","2019-06-19 09:51:57"
282,"RAPS 50/415/23",,204,,,,12,1,"App\PosterModel","2019-06-19 09:52:09","2019-06-19 09:52:09"
283,"RAPS 50/415/23",,204,,,,12,2,"App\PosterModel","2019-06-19 09:52:11","2019-06-19 09:52:11"
284,"RAPS 50/415/23",,204,,,,12,3,"App\PosterModel","2019-06-19 09:52:12","2019-06-19 09:52:12"
285,"RAPS 50/415/23",,204,,,,12,4,"App\PosterModel","2019-06-19 09:52:13","2019-06-19 09:52:13"
286,"RAPS 50/415/23",,204,,,,12,5,"App\PosterModel","2019-06-19 09:52:14","2019-06-19 09:52:14"
287,"4000682/RMu 30001384",,5,,,,12,1,"App\PosterModel","2019-06-19 09:52:47","2019-06-19 09:52:47"
288,"RPS 305/18 Responsable Asistencial Licenciado en Odontología",,,,16,,12,1,"App\PosterModel","2019-06-19 09:53:53","2019-06-19 09:53:53"
289,"4000676/RMu 30001223",,37,,,,12,1,"App\PosterModel","2019-06-19 09:54:23","2019-06-19 09:54:23"
290,"4000679/RMu 18/00-2491",,95,,,,12,1,"App\PosterModel","2019-06-19 09:54:37","2019-06-19 09:54:37"
291,"4000673/RMu 30001248",,129,,,,12,1,"App\PosterModel","2019-06-19 09:54:53","2019-06-19 09:54:53"
292,"4000685/RMu 30001231",,134,,,,12,1,"App\PosterModel","2019-06-19 09:55:06","2019-06-19 09:55:06"
293,"CPS-2833C/42-19-NA",,141,,,,12,1,"App\PosterModel","2019-06-19 09:55:24","2019-06-19 09:55:24"
294,"CPS-2833C/42-19-NA",,142,,,,12,1,"App\PosterModel","2019-06-19 09:55:40","2019-06-19 09:55:40"
295,"CPS-2831C/42-19-NA",,186,,,,12,1,"App\PosterModel","2019-06-19 09:55:54","2019-06-19 09:55:54"
296,"RPS 302/18 Responsable Asistencial Licenciado en Odontología",,,,16,,12,4,"App\PosterModel","2019-06-19 09:56:17","2019-06-19 09:56:17"
297,"CPS-2833C/37-18-NA",,141,,,,12,4,"App\PosterModel","2019-06-19 09:56:33","2019-06-19 09:56:33"
298,"CPS-2833C/37-18-NA",,142,,,,12,4,"App\PosterModel","2019-06-19 09:56:46","2019-06-19 09:56:46"
299,"CPS-2831C/37-18-NA",,186,,,,12,4,"App\PosterModel","2019-06-19 09:56:59","2019-06-19 09:56:59"
300,"4000683/RMu 30001384",,5,,,,12,2,"App\PosterModel","2019-06-19 09:57:21","2019-06-19 09:57:21"
301,"RPS 306/18 Responsable Asistencial Licenciado en Odontología",,,,16,,12,2,"App\PosterModel","2019-06-19 09:57:39","2019-06-19 09:57:39"
302,"4000677/RMu 30001223",,37,,,,12,2,"App\PosterModel","2019-06-19 09:57:50","2019-06-19 09:57:50"
303,"4000680/RMu 18/00-2491",,95,,,,12,2,"App\PosterModel","2019-06-19 09:58:03","2019-06-19 09:58:03"
304,"4000674/RMu 30001248",,129,,,,12,2,"App\PosterModel","2019-06-19 09:58:15","2019-06-19 09:58:15"
305,"4000687/RMu 30001231",,134,,,,12,2,"App\PosterModel","2019-06-19 09:58:28","2019-06-19 09:58:28"
306,"CPS-2833C/36-18-NA",,141,,,,12,2,"App\PosterModel","2019-06-19 09:58:45","2019-06-19 09:58:45"
307,"CPS-2833C/36-18-NA",,142,,,,12,2,"App\PosterModel","2019-06-19 09:59:01","2019-06-19 09:59:01"
308,"CPS-2831C/36-18-NA",,186,,,,12,2,"App\PosterModel","2019-06-19 09:59:18","2019-06-19 09:59:18"
309,"RAPS 50/348/18",,,,2,,10,1,"App\PosterModel","2019-06-19 10:20:27","2019-06-19 10:20:27"
310,"RAPS 50/348/18",,,,2,,10,2,"App\PosterModel","2019-06-19 10:20:29","2019-06-19 10:20:29"
311,"RAPS 50/348/18",,,,2,,10,3,"App\PosterModel","2019-06-19 10:20:30","2019-06-19 10:20:30"
312,"RAPS 50/348/18",,,,2,,10,4,"App\PosterModel","2019-06-19 10:20:31","2019-06-19 10:20:31"
313,"RAPS 50/348/18",,,,2,,10,5,"App\PosterModel","2019-06-19 10:20:32","2019-06-19 10:20:32"
314,"CPS-2833C/26-18-NA",,141,,,,10,1,"App\PosterModel","2019-06-19 10:20:45","2019-06-19 10:20:45"
315,"CPS-2833C/26-18-NA",,141,,,,10,2,"App\PosterModel","2019-06-19 10:20:47","2019-06-19 10:20:47"
316,"CPS-2833C/26-18-NA",,141,,,,10,3,"App\PosterModel","2019-06-19 10:20:49","2019-06-19 10:20:49"
317,"CPS-2833C/26-18-NA",,141,,,,10,4,"App\PosterModel","2019-06-19 10:20:50","2019-06-19 10:20:50"
318,"CPS-2833C/26-18-NA",,141,,,,10,5,"App\PosterModel","2019-06-19 10:20:52","2019-06-19 10:20:52"
319,"CPS-2833C/26-18-NA",,142,,,,10,1,"App\PosterModel","2019-06-19 10:21:09","2019-06-19 10:21:09"
320,"CPS-2833C/26-18-NA",,142,,,,10,2,"App\PosterModel","2019-06-19 10:21:10","2019-06-19 10:21:10"
321,"CPS-2833C/26-18-NA",,142,,,,10,3,"App\PosterModel","2019-06-19 10:21:11","2019-06-19 10:21:11"
322,"CPS-2833C/26-18-NA",,142,,,,10,4,"App\PosterModel","2019-06-19 10:21:12","2019-06-19 10:21:12"
323,"CPS-2833C/26-18-NA",,142,,,,10,5,"App\PosterModel","2019-06-19 10:21:13","2019-06-19 10:21:13"
324,"CPS-2831C/26-18-NA",,186,,,,10,1,"App\PosterModel","2019-06-19 10:21:23","2019-06-19 10:21:23"
325,"CPS-2831C/26-18-NA",,186,,,,10,2,"App\PosterModel","2019-06-19 10:21:25","2019-06-19 10:21:25"
326,"CPS-2831C/26-18-NA",,186,,,,10,3,"App\PosterModel","2019-06-19 10:21:26","2019-06-19 10:21:26"
327,"CPS-2831C/26-18-NA",,186,,,,10,4,"App\PosterModel","2019-06-19 10:21:27","2019-06-19 10:21:27"
328,"CPS-2831C/26-18-NA",,186,,,,10,5,"App\PosterModel","2019-06-19 10:21:28","2019-06-19 10:21:28"
329,"RPS 107/18. Responsable Asistencial Licenciado en Odontología.",,,,16,,10,1,"App\PosterModel","2019-06-19 10:21:56","2019-06-19 10:21:56"
330,"RPS 107/18. Responsable Asistencial Licenciado en Odontología.",,,,16,,10,2,"App\PosterModel","2019-06-19 10:21:58","2019-06-19 10:21:58"
331,"RPS 107/18. Responsable Asistencial Licenciado en Odontología.",,,,16,,10,3,"App\PosterModel","2019-06-19 10:21:59","2019-06-19 10:21:59"
332,"RPS 107/18. Responsable Asistencial Licenciado en Odontología.",,,,16,,10,4,"App\PosterModel","2019-06-19 10:22:00","2019-06-19 10:22:00"
333,"RPS 107/18. Responsable Asistencial Licenciado en Odontología.",,,,16,,10,5,"App\PosterModel","2019-06-19 10:22:02","2019-06-19 10:22:02"
334,"C.2.5.1/4132/4",,69,,,,10,1,"App\PosterModel","2019-06-19 10:22:20","2019-06-19 10:22:20"
335,"C.2.5.1/4132/4",,69,,,,10,2,"App\PosterModel","2019-06-19 10:22:21","2019-06-19 10:22:21"
336,"C.2.5.1/4132/4",,69,,,,10,3,"App\PosterModel","2019-06-19 10:22:22","2019-06-19 10:22:22"
337,"C.2.5.1/4132/4",,69,,,,10,4,"App\PosterModel","2019-06-19 10:22:23","2019-06-19 10:22:23"
338,"C.2.5.1/4132/4",,69,,,,10,5,"App\PosterModel","2019-06-19 10:22:24","2019-06-19 10:22:24"
339,"C.2.5.1/4195/2",,137,,,,10,1,"App\PosterModel","2019-06-19 10:22:35","2019-06-19 10:22:35"
340,"C.2.5.1/4195/2",,137,,,,10,2,"App\PosterModel","2019-06-19 10:22:36","2019-06-19 10:22:36"
341,"C.2.5.1/4195/2",,137,,,,10,3,"App\PosterModel","2019-06-19 10:22:37","2019-06-19 10:22:37"
342,"C.2.5.1/4195/2",,137,,,,10,4,"App\PosterModel","2019-06-19 10:22:38","2019-06-19 10:22:38"
343,"C.2.5.1/4195/2",,137,,,,10,5,"App\PosterModel","2019-06-19 10:22:40","2019-06-19 10:22:40"
344,"4000559/RMu. 30001384",,5,,,,10,1,"App\PosterModel","2019-06-19 10:22:54","2019-06-19 10:22:54"
345,"4000559/RMu. 30001384",,5,,,,10,2,"App\PosterModel","2019-06-19 10:22:56","2019-06-19 10:22:56"
346,"4000559/RMu. 30001384",,5,,,,10,3,"App\PosterModel","2019-06-19 10:22:57","2019-06-19 10:22:57"
347,"4000559/RMu. 30001384",,5,,,,10,4,"App\PosterModel","2019-06-19 10:22:58","2019-06-19 10:22:58"
348,"4000559/RMu. 30001384",,5,,,,10,5,"App\PosterModel","2019-06-19 10:23:00","2019-06-19 10:23:00"
349,"4000565/RMu. 30001223",,37,,,,10,1,"App\PosterModel","2019-06-19 10:23:11","2019-06-19 10:23:11"
350,"4000565/RMu. 30001223",,37,,,,10,2,"App\PosterModel","2019-06-19 10:23:13","2019-06-19 10:23:13"
351,"4000565/RMu. 30001223",,37,,,,10,3,"App\PosterModel","2019-06-19 10:23:14","2019-06-19 10:23:14"
352,"4000565/RMu. 30001223",,37,,,,10,4,"App\PosterModel","2019-06-19 10:23:15","2019-06-19 10:23:15"
353,"4000565/RMu. 30001223",,37,,,,10,5,"App\PosterModel","2019-06-19 10:23:18","2019-06-19 10:23:18"
354,"4000568/RMu. 18/00-2491",,95,,,,10,1,"App\PosterModel","2019-06-19 10:23:30","2019-06-19 10:23:30"
355,"4000568/RMu. 18/00-2491",,95,,,,10,2,"App\PosterModel","2019-06-19 10:23:31","2019-06-19 10:23:31"
356,"4000568/RMu. 18/00-2491",,95,,,,10,3,"App\PosterModel","2019-06-19 10:23:33","2019-06-19 10:23:33"
357,"4000568/RMu. 18/00-2491",,95,,,,10,4,"App\PosterModel","2019-06-19 10:23:34","2019-06-19 10:23:34"
358,"4000568/RMu. 18/00-2491",,95,,,,10,5,"App\PosterModel","2019-06-19 10:23:35","2019-06-19 10:23:35"
359,"4000562/RMu. 30001248",,129,,,,10,1,"App\PosterModel","2019-06-19 10:23:46","2019-06-19 10:23:46"
360,"4000562/RMu. 30001248",,129,,,,10,2,"App\PosterModel","2019-06-19 10:23:47","2019-06-19 10:23:47"
361,"4000562/RMu. 30001248",,129,,,,10,3,"App\PosterModel","2019-06-19 10:23:48","2019-06-19 10:23:48"
362,"4000562/RMu. 30001248",,129,,,,10,4,"App\PosterModel","2019-06-19 10:23:49","2019-06-19 10:23:49"
363,"4000562/RMu. 30001248",,129,,,,10,5,"App\PosterModel","2019-06-19 10:23:50","2019-06-19 10:23:50"
364,"4000571/RMu. 30001231",,134,,,,10,1,"App\PosterModel","2019-06-19 10:24:00","2019-06-19 10:24:00"
365,"4000571/RMu. 30001231",,134,,,,10,2,"App\PosterModel","2019-06-19 10:24:02","2019-06-19 10:24:02"
366,"4000571/RMu. 30001231",,134,,,,10,3,"App\PosterModel","2019-06-19 10:24:04","2019-06-19 10:24:04"
367,"4000571/RMu. 30001231",,134,,,,10,4,"App\PosterModel","2019-06-19 10:24:05","2019-06-19 10:24:05"
368,"4000571/RMu. 30001231",,134,,,,10,5,"App\PosterModel","2019-06-19 10:24:06","2019-06-19 10:24:06"
369,"4000559/RMu. 30001384.",,5,,,,9,1,"App\PosterModel","2019-06-19 10:38:57","2019-06-19 10:38:57"
370,"4000559/RMu. 30001384.",,5,,,,9,2,"App\PosterModel","2019-06-19 10:38:59","2019-06-19 10:38:59"
371,"4000559/RMu. 30001384.",,5,,,,9,3,"App\PosterModel","2019-06-19 10:39:01","2019-06-19 10:39:01"
372,"4000559/RMu. 30001384.",,5,,,,9,4,"App\PosterModel","2019-06-19 10:39:03","2019-06-19 10:39:03"
373,"4000559/RMu. 30001384.",,5,,,,9,5,"App\PosterModel","2019-06-19 10:39:04","2019-06-19 10:39:04"
374,"4000562/RMu. 30001248.",,129,,,,9,1,"App\PosterModel","2019-06-19 10:39:20","2019-06-19 10:39:20"
375,"4000562/RMu. 30001248.",,129,,,,9,2,"App\PosterModel","2019-06-19 10:39:23","2019-06-19 10:39:23"
376,"4000562/RMu. 30001248.",,129,,,,9,3,"App\PosterModel","2019-06-19 10:39:24","2019-06-19 10:39:24"
377,"4000562/RMu. 30001248.",,129,,,,9,4,"App\PosterModel","2019-06-19 10:39:27","2019-06-19 10:39:27"
378,"4000562/RMu. 30001248.",,129,,,,9,5,"App\PosterModel","2019-06-19 10:39:28","2019-06-19 10:39:28"
379,"4000565/RMu. 30001223.",,37,,,,9,1,"App\PosterModel","2019-06-19 10:39:44","2019-06-19 10:39:44"
380,"4000565/RMu. 30001223.",,37,,,,9,2,"App\PosterModel","2019-06-19 10:39:46","2019-06-19 10:39:46"
381,"4000565/RMu. 30001223.",,37,,,,9,3,"App\PosterModel","2019-06-19 10:39:47","2019-06-19 10:39:47"
382,"4000565/RMu. 30001223.",,37,,,,9,4,"App\PosterModel","2019-06-19 10:39:48","2019-06-19 10:39:48"
383,"4000565/RMu. 30001223.",,37,,,,9,5,"App\PosterModel","2019-06-19 10:39:49","2019-06-19 10:39:49"
384,"4000568/RMu. 18/00-2491.",,95,,,,9,1,"App\PosterModel","2019-06-19 10:40:00","2019-06-19 10:40:00"
385,"4000568/RMu. 18/00-2491.",,95,,,,9,2,"App\PosterModel","2019-06-19 10:40:01","2019-06-19 10:40:01"
386,"4000568/RMu. 18/00-2491.",,95,,,,9,3,"App\PosterModel","2019-06-19 10:40:02","2019-06-19 10:40:02"
387,"4000568/RMu. 18/00-2491.",,95,,,,9,4,"App\PosterModel","2019-06-19 10:40:03","2019-06-19 10:40:03"
388,"4000568/RMu. 18/00-2491.",,95,,,,9,5,"App\PosterModel","2019-06-19 10:40:04","2019-06-19 10:40:04"
389,"4000571/RMu. 30001231.",,134,,,,9,1,"App\PosterModel","2019-06-19 10:40:15","2019-06-19 10:40:15"
390,"4000571/RMu. 30001231.",,134,,,,9,2,"App\PosterModel","2019-06-19 10:40:16","2019-06-19 10:40:16"
391,"4000571/RMu. 30001231.",,134,,,,9,3,"App\PosterModel","2019-06-19 10:40:17","2019-06-19 10:40:17"
392,"4000571/RMu. 30001231.",,134,,,,9,4,"App\PosterModel","2019-06-19 10:40:18","2019-06-19 10:40:18"
393,"4000571/RMu. 30001231.",,134,,,,9,5,"App\PosterModel","2019-06-19 10:40:20","2019-06-19 10:40:20"
394,"C.2.5.1/4132/4.",,69,,,,9,1,"App\PosterModel","2019-06-19 10:40:32","2019-06-19 10:40:32"
395,"C.2.5.1/4132/4.",,69,,,,9,2,"App\PosterModel","2019-06-19 10:40:34","2019-06-19 10:40:34"
396,"C.2.5.1/4132/4.",,69,,,,9,3,"App\PosterModel","2019-06-19 10:40:35","2019-06-19 10:40:35"
397,"C.2.5.1/4132/4.",,69,,,,9,4,"App\PosterModel","2019-06-19 10:40:36","2019-06-19 10:40:36"
398,"C.2.5.1/4132/4.",,69,,,,9,5,"App\PosterModel","2019-06-19 10:40:37","2019-06-19 10:40:37"
399,"CPS-2831C/20-18-NA.",,186,,,,9,1,"App\PosterModel","2019-06-19 10:40:46","2019-06-19 10:40:46"
400,"CPS-2831C/20-18-NA.",,186,,,,9,2,"App\PosterModel","2019-06-19 10:40:47","2019-06-19 10:40:47"
401,"CPS-2831C/20-18-NA.",,186,,,,9,3,"App\PosterModel","2019-06-19 10:40:48","2019-06-19 10:40:48"
402,"CPS-2831C/20-18-NA.",,186,,,,9,4,"App\PosterModel","2019-06-19 10:40:49","2019-06-19 10:40:49"
403,"CPS-2831C/20-18-NA.",,186,,,,9,5,"App\PosterModel","2019-06-19 10:40:50","2019-06-19 10:40:50"
404,"CPS-2833C/20-18-NA.",,142,,,,9,1,"App\PosterModel","2019-06-19 10:41:00","2019-06-19 10:43:35"
405,"CPS-2833C/20-18-NA.",,142,,,,9,2,"App\PosterModel","2019-06-19 10:41:02","2019-06-19 10:45:40"
406,"CPS-2833C/20-18-NA.",,142,,,,9,3,"App\PosterModel","2019-06-19 10:41:06","2019-06-19 10:45:41"
407,"CPS-2833C/20-18-NA.",,142,,,,9,4,"App\PosterModel","2019-06-19 10:41:08","2019-06-19 10:45:41"
408,"CPS-2833C/20-18-NA.",,142,,,,9,5,"App\PosterModel","2019-06-19 10:41:09","2019-06-19 10:45:41"
409,"CPS-2833C/20-18-NA.",,141,,,,9,1,"App\PosterModel","2019-06-19 10:46:11","2019-06-19 10:46:11"
410,"CPS-2833C/20-18-NA.",,141,,,,9,2,"App\PosterModel","2019-06-19 10:46:12","2019-06-19 10:46:12"
411,"CPS-2833C/20-18-NA.",,141,,,,9,3,"App\PosterModel","2019-06-19 10:46:14","2019-06-19 10:46:14"
412,"CPS-2833C/20-18-NA.",,141,,,,9,4,"App\PosterModel","2019-06-19 10:46:15","2019-06-19 10:46:15"
413,"CPS-2833C/20-18-NA.",,141,,,,9,5,"App\PosterModel","2019-06-19 10:46:16","2019-06-19 10:46:16"
414,"RAPS 50/348/18.",,,,2,,9,1,"App\PosterModel","2019-06-19 10:46:26","2019-06-19 10:46:26"
