id,"created_at","updated_at"
143,"2018-09-17 16:05:53","2018-09-17 16:05:53"
144,"2018-09-17 16:49:41","2018-09-17 16:49:41"
145,"2018-09-17 18:17:50","2018-09-17 18:17:50"
146,"2018-09-17 18:19:38","2018-09-17 18:19:38"
147,"2018-09-17 18:21:36","2018-09-17 18:21:36"
148,"2018-09-17 18:23:55","2018-09-17 18:23:55"
149,"2018-09-17 18:25:35","2018-09-17 18:25:35"
150,"2018-09-17 20:00:34","2018-09-17 20:00:34"
151,"2018-09-18 11:53:01","2018-09-18 11:53:01"
152,"2018-09-18 11:55:49","2018-09-18 11:55:49"
153,"2018-09-18 11:57:47","2018-09-18 11:57:47"
154,"2018-09-18 12:00:42","2018-09-18 12:00:42"
155,"2018-09-18 12:20:40","2018-09-18 12:20:40"
156,"2018-09-18 12:22:06","2018-09-18 12:22:06"
157,"2018-09-18 12:23:10","2018-09-18 12:23:10"
158,"2018-09-18 12:30:18","2018-09-18 12:30:18"
159,"2018-09-18 12:33:03","2018-09-18 12:33:03"
160,"2018-09-18 12:35:19","2018-09-18 12:35:19"
161,"2018-09-18 12:38:03","2018-09-18 12:38:03"
162,"2018-09-18 12:58:11","2018-09-18 12:58:11"
163,"2018-09-18 18:42:17","2018-09-18 18:42:17"
164,"2018-09-19 18:00:52","2018-09-19 18:00:52"
165,"2018-09-19 18:04:22","2018-09-19 18:04:22"
166,"2018-09-19 18:36:44","2018-09-19 18:36:44"
167,"2018-09-19 18:39:42","2018-09-19 18:39:42"
168,"2018-09-19 18:45:17","2018-09-19 18:45:17"
169,"2018-09-19 18:49:13","2018-09-19 18:49:13"
170,"2018-09-19 18:51:32","2018-09-19 18:51:32"
171,"2018-09-19 18:53:24","2018-09-19 18:53:24"
172,"2018-09-19 18:55:54","2018-09-19 18:55:54"
173,"2018-09-19 18:57:32","2018-09-19 18:57:32"
174,"2018-09-19 18:59:39","2018-09-19 18:59:39"
175,"2018-09-19 19:02:35","2018-09-19 19:02:35"
176,"2018-09-19 19:04:56","2018-09-19 19:04:56"
177,"2018-09-19 19:07:26","2018-09-19 19:07:26"
178,"2018-09-19 19:09:17","2018-09-19 19:09:17"
179,"2018-09-19 19:12:50","2018-09-19 19:12:50"
180,"2018-09-21 12:42:32","2018-09-21 12:42:32"
181,"2018-09-21 12:43:26","2018-09-21 12:43:26"
182,"2018-09-21 12:44:27","2018-09-21 12:44:27"
183,"2018-09-24 11:41:30","2018-09-24 11:41:30"
184,"2018-09-24 11:50:11","2018-09-24 11:50:11"
185,"2018-09-24 11:52:45","2018-09-24 11:52:45"
186,"2018-09-24 12:04:21","2018-09-24 12:04:21"
187,"2018-09-24 12:08:31","2018-09-24 12:08:31"
188,"2018-09-24 12:13:25","2018-09-24 12:13:25"
189,"2018-09-24 12:15:11","2018-09-24 12:15:11"
190,"2018-09-24 12:16:57","2018-09-24 12:16:57"
191,"2018-09-24 12:28:22","2018-09-24 12:28:22"
192,"2018-09-24 12:28:53","2018-09-24 12:28:53"
193,"2018-09-24 12:29:42","2018-09-24 12:29:42"
194,"2018-09-24 12:30:20","2018-09-24 12:30:20"
195,"2018-09-24 12:32:11","2018-09-24 12:32:11"
196,"2018-09-24 12:33:07","2018-09-24 12:33:07"
197,"2018-09-24 12:36:27","2018-09-24 12:36:27"
198,"2018-09-24 12:54:49","2018-09-24 12:54:49"
199,"2018-09-24 12:57:13","2018-09-24 12:57:13"
200,"2018-09-24 12:58:02","2018-09-24 12:58:02"
201,"2018-09-24 14:12:45","2018-09-24 14:12:45"
202,"2018-09-24 16:12:09","2018-09-24 16:12:09"
203,"2018-09-24 17:14:50","2018-09-24 17:14:50"
204,"2018-09-24 17:19:59","2018-09-24 17:19:59"
205,"2018-09-24 17:22:47","2018-09-24 17:22:47"
206,"2018-09-24 17:26:00","2018-09-24 17:26:00"
207,"2018-09-24 17:51:08","2018-09-24 17:51:08"
208,"2018-09-24 17:52:10","2018-09-24 17:52:10"
209,"2018-09-24 17:54:47","2018-09-24 17:54:47"
210,"2018-09-24 17:59:51","2018-09-24 17:59:51"
211,"2018-09-24 18:01:33","2018-09-24 18:01:33"
212,"2018-09-24 18:28:13","2018-09-24 18:28:13"
213,"2018-09-25 18:31:30","2018-09-25 18:31:30"
214,"2018-09-25 18:33:17","2018-09-25 18:33:17"
215,"2018-09-25 18:35:10","2018-09-25 18:35:10"
216,"2018-09-25 18:36:43","2018-09-25 18:36:43"
217,"2018-09-25 18:38:45","2018-09-25 18:38:45"
218,"2018-09-25 18:39:55","2018-09-25 18:39:55"
219,"2018-09-25 18:40:58","2018-09-25 18:40:58"
220,"2018-09-25 18:42:02","2018-09-25 18:42:02"
221,"2018-09-25 18:43:42","2018-09-25 18:43:42"
222,"2018-09-25 18:46:25","2018-09-25 18:46:25"
223,"2018-09-25 18:49:28","2018-09-25 18:49:28"
224,"2018-09-25 18:51:05","2018-09-25 18:51:05"
225,"2018-09-25 18:53:23","2018-09-25 18:53:23"
226,"2018-09-25 18:55:50","2018-09-25 18:55:50"
227,"2018-09-26 13:58:14","2018-09-26 13:58:14"
228,"2018-09-26 14:00:18","2018-09-26 14:00:18"
229,"2018-09-26 14:03:09","2018-09-26 14:03:09"
230,"2018-09-26 14:05:30","2018-09-26 14:05:30"
231,"2018-09-26 14:14:00","2018-09-26 14:14:00"
232,"2018-09-26 15:22:30","2018-09-26 15:22:30"
233,"2018-09-26 15:23:36","2018-09-26 15:23:36"
234,"2018-09-26 16:41:30","2018-09-26 16:41:30"
235,"2018-09-26 17:28:29","2018-09-26 17:28:29"
236,"2018-09-26 17:31:28","2018-09-26 17:31:28"
237,"2018-09-26 17:33:36","2018-09-26 17:33:36"
238,"2018-09-26 17:35:19","2018-09-26 17:35:19"
239,"2018-09-26 18:07:49","2018-09-26 18:07:49"
240,"2018-09-27 16:49:56","2018-09-27 16:49:56"
241,"2018-09-27 17:00:54","2018-09-27 17:00:54"
242,"2018-09-27 17:10:32","2018-09-27 17:10:32"
243,"2018-09-27 17:14:33","2018-09-27 17:14:33"
244,"2018-09-27 17:17:21","2018-09-27 17:17:21"
245,"2018-09-27 17:19:54","2018-09-27 17:19:54"
246,"2018-09-27 17:21:25","2018-09-27 17:21:25"
247,"2018-09-27 18:39:55","2018-09-27 18:39:55"
248,"2018-09-27 18:41:45","2018-09-27 18:41:45"
249,"2018-09-27 18:42:13","2018-09-27 18:42:13"
250,"2018-10-01 12:17:44","2018-10-01 12:17:44"
251,"2018-10-01 12:19:09","2018-10-01 12:19:09"
252,"2018-10-01 12:21:04","2018-10-01 12:21:04"
253,"2018-10-01 12:22:13","2018-10-01 12:22:13"
254,"2018-10-01 12:23:37","2018-10-01 12:23:37"
255,"2018-10-01 12:25:13","2018-10-01 12:25:13"
256,"2018-10-01 15:53:03","2018-10-01 15:53:03"
257,"2018-10-01 16:26:03","2018-10-01 16:26:03"
258,"2018-10-01 16:27:00","2018-10-01 16:27:00"
259,"2018-10-01 16:30:54","2018-10-01 16:30:54"
260,"2018-10-01 16:32:18","2018-10-01 16:32:18"
261,"2018-10-01 16:35:08","2018-10-01 16:35:08"
262,"2018-10-01 16:36:43","2018-10-01 16:36:43"
263,"2018-10-01 16:39:56","2018-10-01 16:39:56"
264,"2018-10-01 16:41:46","2018-10-01 16:41:46"
265,"2018-10-01 16:44:45","2018-10-01 16:44:45"
266,"2018-10-01 16:46:35","2018-10-01 16:46:35"
267,"2018-10-01 17:34:53","2018-10-01 17:34:53"
268,"2018-10-01 17:35:35","2018-10-01 17:35:35"
269,"2018-10-02 10:32:51","2018-10-02 10:32:51"
270,"2018-10-02 10:33:03","2018-10-02 10:33:03"
271,"2018-10-02 10:34:51","2018-10-02 10:34:51"
272,"2018-10-02 17:46:40","2018-10-02 17:46:40"
273,"2018-10-02 17:47:42","2018-10-02 17:47:42"
274,"2018-10-02 17:57:31","2018-10-02 17:57:31"
275,"2018-10-02 17:59:17","2018-10-02 17:59:17"
276,"2018-10-02 18:01:15","2018-10-02 18:01:15"
277,"2018-10-02 18:02:40","2018-10-02 18:02:40"
278,"2018-10-02 18:05:20","2018-10-02 18:05:20"
279,"2018-10-02 18:06:50","2018-10-02 18:06:50"
280,"2018-10-02 18:08:54","2018-10-02 18:08:54"
281,"2018-10-03 16:06:02","2018-10-03 16:06:02"
282,"2018-10-03 16:11:38","2018-10-03 16:11:38"
283,"2018-10-03 16:18:31","2018-10-03 16:18:31"
284,"2018-10-03 16:23:32","2018-10-03 16:23:32"
285,"2018-10-03 16:25:46","2018-10-03 16:25:46"
286,"2018-10-03 16:32:16","2018-10-03 16:32:16"
287,"2018-10-03 17:05:13","2018-10-03 17:05:13"
288,"2018-10-03 17:09:55","2018-10-03 17:09:55"
289,"2018-10-04 13:39:58","2018-10-04 13:39:58"
290,"2018-10-04 13:58:04","2018-10-04 13:58:04"
291,"2018-10-04 15:00:28","2018-10-04 15:00:28"
292,"2018-10-04 15:02:36","2018-10-04 15:02:36"
293,"2018-10-04 15:04:38","2018-10-04 15:04:38"
294,"2018-10-04 15:06:40","2018-10-04 15:06:40"
295,"2018-10-04 15:35:40","2018-10-04 15:35:40"
296,"2018-10-04 15:46:17","2018-10-04 15:46:17"
297,"2018-10-04 15:48:37","2018-10-04 15:48:37"
298,"2018-10-04 15:49:58","2018-10-04 15:49:58"
299,"2018-10-05 12:03:09","2018-10-05 12:03:09"
300,"2018-10-05 12:04:33","2018-10-05 12:04:33"
301,"2018-10-05 12:07:48","2018-10-05 12:07:48"
302,"2018-10-05 12:12:20","2018-10-05 12:12:20"
303,"2018-10-05 12:13:51","2018-10-05 12:13:51"
304,"2018-10-05 12:16:25","2018-10-05 12:16:25"
305,"2018-10-08 12:27:19","2018-10-08 12:27:19"
306,"2018-10-08 12:32:26","2018-10-08 12:32:26"
307,"2018-10-08 12:35:55","2018-10-08 12:35:55"
308,"2018-10-08 13:03:41","2018-10-08 13:03:41"
309,"2018-10-08 13:07:09","2018-10-08 13:07:09"
310,"2018-10-08 13:12:23","2018-10-08 13:12:23"
311,"2018-10-08 17:24:46","2018-10-08 17:24:46"
312,"2018-10-08 17:28:23","2018-10-08 17:28:23"
313,"2018-10-09 14:04:58","2018-10-09 14:04:58"
314,"2018-10-09 14:06:42","2018-10-09 14:06:42"
315,"2018-10-09 14:08:08","2018-10-09 14:08:08"
316,"2018-10-09 14:10:12","2018-10-09 14:10:12"
317,"2018-10-10 11:53:29","2018-10-10 11:53:29"
318,"2018-10-10 12:35:35","2018-10-10 12:35:35"
319,"2018-10-10 13:50:27","2018-10-10 13:50:27"
320,"2018-10-10 13:52:44","2018-10-10 13:52:44"
321,"2018-10-10 13:54:30","2018-10-10 13:54:30"
322,"2018-10-10 14:08:18","2018-10-10 14:08:18"
323,"2018-10-10 14:14:39","2018-10-10 14:14:39"
324,"2018-10-10 14:18:46","2018-10-10 14:18:46"
325,"2018-10-10 14:22:49","2018-10-10 14:22:49"
326,"2018-10-10 14:24:20","2018-10-10 14:24:20"
327,"2018-10-11 14:54:10","2018-10-11 14:54:10"
328,"2018-10-11 14:56:52","2018-10-11 14:56:52"
329,"2018-10-11 16:29:30","2018-10-11 16:29:30"
330,"2018-10-11 18:29:25","2018-10-11 18:29:25"
331,"2018-10-12 09:22:15","2018-10-12 09:22:15"
332,"2018-10-15 11:21:41","2018-10-15 11:21:41"
333,"2018-10-15 11:25:34","2018-10-15 11:25:34"
334,"2018-10-15 11:28:35","2018-10-15 11:28:35"
335,"2018-10-15 11:34:59","2018-10-15 11:34:59"
336,"2018-10-15 11:41:44","2018-10-15 11:41:44"
337,"2018-10-15 11:43:50","2018-10-15 11:43:50"
338,"2018-10-15 14:01:02","2018-10-15 14:01:02"
339,"2018-10-15 16:16:29","2018-10-15 16:16:29"
340,"2018-10-16 11:56:27","2018-10-16 11:56:27"
341,"2018-10-16 11:58:01","2018-10-16 11:58:01"
342,"2018-10-16 11:59:41","2018-10-16 11:59:41"
343,"2018-10-16 12:01:28","2018-10-16 12:01:28"
344,"2018-10-16 12:28:50","2018-10-16 12:28:50"
345,"2018-10-16 12:32:05","2018-10-16 12:32:05"
346,"2018-10-16 12:41:40","2018-10-16 12:41:40"
347,"2018-10-16 12:45:26","2018-10-16 12:45:26"
348,"2018-10-17 17:42:01","2018-10-17 17:42:01"
349,"2018-10-17 17:44:04","2018-10-17 17:44:04"
350,"2018-10-17 17:45:03","2018-10-17 17:45:03"
351,"2018-10-17 17:46:05","2018-10-17 17:46:05"
352,"2018-10-17 17:47:11","2018-10-17 17:47:11"
353,"2018-10-17 17:48:42","2018-10-17 17:48:42"
354,"2018-10-17 17:51:57","2018-10-17 17:51:57"
355,"2018-10-17 17:55:33","2018-10-17 17:55:33"
356,"2018-10-18 12:50:00","2018-10-18 12:50:00"
357,"2018-10-18 12:54:48","2018-10-18 12:54:48"
358,"2018-10-18 13:14:35","2018-10-18 13:14:35"
359,"2018-10-18 16:37:46","2018-10-18 16:37:46"
360,"2018-10-18 16:41:23","2018-10-18 16:41:23"
361,"2018-10-23 16:59:18","2018-10-23 16:59:18"
362,"2018-10-23 17:03:16","2018-10-23 17:03:16"
363,"2018-10-23 17:05:06","2018-10-23 17:05:06"
364,"2018-10-23 17:07:00","2018-10-23 17:07:00"
365,"2018-10-23 17:09:06","2018-10-23 17:09:06"
366,"2018-10-23 17:10:54","2018-10-23 17:10:54"
367,"2018-10-23 17:12:56","2018-10-23 17:12:56"
368,"2018-10-23 17:21:09","2018-10-23 17:21:09"
369,"2018-10-23 17:24:03","2018-10-23 17:24:03"
370,"2018-10-23 18:23:52","2018-10-23 18:23:52"
371,"2018-10-23 18:25:29","2018-10-23 18:25:29"
372,"2018-10-23 18:30:35","2018-10-23 18:30:35"
373,"2018-10-24 14:21:17","2018-10-24 14:21:17"
374,"2018-10-24 14:22:49","2018-10-24 14:22:49"
375,"2018-10-24 14:29:56","2018-10-24 14:29:56"
376,"2018-10-24 14:34:59","2018-10-24 14:34:59"
377,"2018-10-24 14:36:58","2018-10-24 14:36:58"
378,"2018-10-24 14:39:59","2018-10-24 14:39:59"
379,"2018-10-24 14:41:56","2018-10-24 14:41:56"
380,"2018-10-24 14:44:01","2018-10-24 14:44:01"
381,"2018-10-24 14:45:12","2018-10-24 14:45:12"
382,"2018-10-24 14:47:02","2018-10-24 14:47:02"
383,"2018-10-24 14:49:14","2018-10-24 14:49:14"
384,"2018-10-24 17:01:44","2018-10-24 17:01:44"
385,"2018-10-25 13:35:23","2018-10-25 13:35:23"
386,"2018-10-25 13:37:40","2018-10-25 13:37:40"
387,"2018-10-25 13:44:22","2018-10-25 13:44:22"
388,"2018-10-25 13:47:46","2018-10-25 13:47:46"
389,"2018-10-25 13:49:33","2018-10-25 13:49:33"
390,"2018-10-25 13:55:34","2018-10-25 13:55:34"
391,"2018-10-25 23:31:18","2018-10-25 23:31:18"
392,"2018-10-25 23:56:59","2018-10-25 23:56:59"
393,"2018-10-29 09:44:54","2018-10-29 09:44:54"
394,"2018-10-29 09:47:43","2018-10-29 09:47:43"
395,"2018-10-29 09:50:03","2018-10-29 09:50:03"
396,"2018-10-29 10:14:39","2018-10-29 10:14:39"
397,"2018-10-29 10:15:56","2018-10-29 10:15:56"
398,"2018-10-29 10:17:52","2018-10-29 10:17:52"
399,"2018-10-29 10:19:30","2018-10-29 10:19:30"
400,"2018-10-29 10:21:23","2018-10-29 10:21:23"
401,"2018-10-29 10:22:28","2018-10-29 10:22:28"
402,"2018-10-29 10:30:44","2018-10-29 10:30:44"
403,"2018-10-29 11:12:28","2018-10-29 11:12:28"
404,"2018-10-29 11:13:49","2018-10-29 11:13:49"
405,"2018-10-29 11:15:30","2018-10-29 11:15:30"
406,"2018-10-29 11:16:53","2018-10-29 11:16:53"
407,"2018-10-29 11:19:37","2018-10-29 11:19:37"
408,"2018-10-29 12:30:51","2018-10-29 12:30:51"
409,"2018-10-29 12:34:40","2018-10-29 12:34:40"
410,"2018-10-30 09:25:34","2018-10-30 09:25:34"
411,"2018-10-30 09:27:59","2018-10-30 09:27:59"
412,"2018-10-30 09:29:36","2018-10-30 09:29:36"
413,"2018-10-30 09:43:24","2018-10-30 09:43:24"
414,"2018-10-30 09:45:40","2018-10-30 09:45:40"
415,"2018-10-30 09:47:44","2018-10-30 09:47:44"
416,"2018-10-30 09:49:58","2018-10-30 09:49:58"
417,"2018-10-30 09:51:16","2018-10-30 09:51:16"
418,"2018-10-30 17:55:52","2018-10-30 17:55:52"
419,"2018-10-30 17:57:11","2018-10-30 17:57:11"
420,"2018-10-30 17:58:53","2018-10-30 17:58:53"
421,"2018-10-30 18:01:10","2018-10-30 18:01:10"
422,"2018-10-31 10:28:35","2018-10-31 10:28:35"
423,"2018-10-31 14:27:30","2018-10-31 14:27:30"
424,"2018-10-31 14:31:17","2018-10-31 14:31:17"
425,"2018-10-31 15:13:15","2018-10-31 15:13:15"
426,"2018-10-31 15:16:34","2018-10-31 15:16:34"
427,"2018-10-31 15:18:46","2018-10-31 15:18:46"
428,"2018-10-31 15:20:45","2018-10-31 15:20:45"
429,"2018-10-31 15:22:31","2018-10-31 15:22:31"
430,"2018-10-31 15:25:52","2018-10-31 15:25:52"
431,"2018-10-31 15:28:33","2018-10-31 15:28:33"
432,"2018-10-31 16:20:28","2018-10-31 16:20:28"
433,"2018-10-31 16:22:49","2018-10-31 16:22:49"
434,"2018-10-31 18:09:47","2018-10-31 18:09:47"
435,"2018-10-31 18:11:01","2018-10-31 18:11:01"
436,"2018-10-31 18:12:50","2018-10-31 18:12:50"
437,"2018-11-02 10:50:00","2018-11-02 10:50:00"
438,"2018-11-02 10:52:35","2018-11-02 10:52:35"
439,"2018-11-05 11:54:59","2018-11-05 11:54:59"
440,"2018-11-05 11:58:29","2018-11-05 11:58:29"
441,"2018-11-05 12:00:22","2018-11-05 12:00:22"
442,"2018-11-05 12:02:03","2018-11-05 12:02:03"
443,"2018-11-05 12:11:32","2018-11-05 12:11:32"
444,"2018-11-05 12:16:44","2018-11-05 12:16:44"
445,"2018-11-05 12:18:47","2018-11-05 12:18:47"
446,"2018-11-05 12:20:05","2018-11-05 12:20:05"
447,"2018-11-05 12:21:41","2018-11-05 12:21:41"
448,"2018-11-05 12:22:48","2018-11-05 12:22:48"
449,"2018-11-05 17:27:59","2018-11-05 17:27:59"
450,"2018-11-05 17:30:14","2018-11-05 17:30:14"
451,"2018-11-05 17:31:24","2018-11-05 17:31:24"
452,"2018-11-06 15:50:03","2018-11-06 15:50:03"
453,"2018-11-06 15:52:52","2018-11-06 15:52:52"
454,"2018-11-06 15:54:51","2018-11-06 15:54:51"
455,"2018-11-06 15:57:12","2018-11-06 15:57:12"
456,"2018-11-06 15:59:09","2018-11-06 15:59:09"
457,"2018-11-06 16:07:09","2018-11-06 16:07:09"
458,"2018-11-06 16:09:50","2018-11-06 16:09:50"
459,"2018-11-07 17:52:14","2018-11-07 17:52:14"
460,"2018-11-08 09:45:25","2018-11-08 09:45:25"
461,"2018-11-08 09:48:28","2018-11-08 09:48:28"
462,"2018-11-08 09:49:51","2018-11-08 09:49:51"
463,"2018-11-08 09:51:37","2018-11-08 09:51:37"
464,"2018-11-08 09:53:00","2018-11-08 09:53:00"
465,"2018-11-08 09:54:41","2018-11-08 09:54:41"
