id,name,created_at,updated_at
30,RESPONSABLE DE CONTROLLING,2018-09-12 15:21:07,2018-09-12 15:21:07
31,TECNICO CALIDAD,2018-09-13 15:21:07,2018-09-13 15:21:07
32,DEPARTAMENTO MEDICO,2018-09-14 15:21:07,2018-09-14 15:21:07
33,COORDINADOR MEDICO,2018-09-15 15:21:07,2018-09-15 15:21:07
34,TECNICO EXPANSION,2018-09-16 15:21:07,2018-09-16 15:21:07
35,ADMINISTRATIVO,2018-09-17 15:21:07,2018-09-17 15:21:07
36,ATENCION AL PACIENTE,2018-09-18 15:21:07,2018-09-18 15:21:07
37,DIRECCION,2018-09-19 15:21:07,2018-09-19 15:21:07
38,DIRECTOR GENERAL,2018-09-20 15:21:07,2018-09-20 15:21:07
39,DECORADOR DE INTERIORES,2018-09-21 15:21:07,2018-09-21 15:21:07
40,RESPONSABLE EXPANSION,2018-09-22 15:21:07,2018-09-22 15:21:07
41,ADMINISTRATIVO DE TESORERIA,2018-09-23 15:21:07,2018-09-23 15:21:07
42,TECNICO FINANCIACION,2018-09-24 15:21:07,2018-09-24 15:21:07
43,AUXILIAR ADMINISTRATIVO,2018-09-25 15:21:07,2018-09-25 15:21:07
44,AUDITOR FINANCIERO,2018-09-26 15:21:07,2018-09-26 15:21:07
45,JEFE DE CONTABILIDAD,2018-09-27 15:21:07,2018-09-27 15:21:07
46,TECNICO CONTABLE,2018-09-28 15:21:07,2018-09-28 15:21:07
47,TECNICO CONTABILIDAD,2018-09-29 15:21:07,2018-09-29 15:21:07
48,FORMACION Y APERTURA,2018-09-30 15:21:07,2018-09-30 15:21:07
49,BECARIO,2018-10-01 15:21:07,2018-10-01 15:21:07
50,TECNICO INFORMATICO,2018-10-02 15:21:07,2018-10-02 15:21:07
51,COMMUNITY MANAGER,2018-10-03 15:21:07,2018-10-03 15:21:07
52,DISEÑADOR GRAFICO,2018-10-04 15:21:07,2018-10-04 15:21:07
53,TECNICO MARKETING,2018-10-05 15:21:07,2018-10-05 15:21:07
54,TECNICO NOMINAS,2018-10-06 15:21:07,2018-10-06 15:21:07
55,RESPONSABLE LABORAL,2018-10-07 15:21:07,2018-10-07 15:21:07
56,DIRECCION LABORAL,2018-10-08 15:21:07,2018-10-08 15:21:07
57,TECNICO FORMACION,2018-10-09 15:21:07,2018-10-09 15:21:07
58,TECNICO PRL,2018-10-10 15:21:07,2018-10-10 15:21:07
59,TECNICO SELECCIÓN,2018-10-11 15:21:07,2018-10-11 15:21:07
60,ADMINISTRADOR DE SISTEMAS,2018-10-12 15:21:07,2018-10-12 15:21:07
61,PROGRAMADOR ORACLE,2018-10-13 15:21:07,2018-10-13 15:21:07
62,RESPONSABLE GESTION DE PROCESOS,2018-10-14 15:21:07,2018-10-14 15:21:07
63,PROMOTORA,2018-10-15 15:21:07,2018-10-15 15:21:07
64,AREA MANAGER,2018-10-16 15:21:07,2018-10-16 15:21:07
65,RESPONSABLE DE GRANDES CUENTAS,2018-10-17 15:21:07,2018-10-17 15:21:07
66,CLINICAL MANAGER,2018-10-18 15:21:07,2018-10-18 15:21:07
67,COORDINADOR STAND,2018-10-19 15:21:07,2018-10-19 15:21:07
68,RESPONSABLE COMERCIAL DE CALL CENTER,2018-10-20 15:21:07,2018-10-20 15:21:07
